#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
55	5.500000e-03	1.000000e+00	0.000000e+00	1.046527e-15	5.234822e-09	1.000000e+00	4.718996e+01
56	5.600000e-03	1.000000e+00	0.000000e+00	1.054526e-15	5.226302e-09	1.000000e+00	4.775425e+01
57	5.700000e-03	1.000000e+00	0.000000e+00	1.074316e-15	5.830349e-09	1.000000e+00	4.831669e+01
58	5.800000e-03	1.000000e+00	0.000000e+00	1.095909e-15	4.059127e-09	1.000000e+00	4.888057e+01
59	5.900000e-03	1.000000e+00	0.000000e+00	1.120069e-15	2.221021e-09	1.000000e+00	4.944738e+01
60	6.000000e-03	1.000000e+00	0.000000e+00	1.117187e-15	1.626484e-09	1.000000e+00	5.001380e+01
61	6.100000e-03	1.000000e+00	0.000000e+00	1.076528e-15	3.241790e-09	1.000000e+00	5.057792e+01
62	6.200000e-03	1.000000e+00	0.000000e+00	1.058990e-15	1.547441e-09	1.000000e+00	5.115809e+01
63	6.300000e-03	1.000000e+00	0.000000e+00	1.034991e-15	2.872661e-09	1.000000e+00	5.172413e+01
64	6.400000e-03	1.000000e+00	0.000000e+00	1.072309e-15	3.478653e-09	1.000000e+00	5.228919e+01
65	6.500000e-03	1.000000e+00	0.000000e+00	1.052495e-15	2.007939e-09	1.000000e+00	5.285277e+01
66	6.600000e-03	1.000000e+00	0.000000e+00	1.295508e-06	3.009337e-05	1.000000e+00	5.341822e+01
67	6.700000e-03	1.000000e+00	0.000000e+00	1.406089e-06	3.412717e-05	1.000000e+00	5.398584e+01
68	6.800000e-03	1.000000e+00	0.000000e+00	4.068434e-06	7.145559e-05	1.000000e+00	5.455272e+01
69	6.900000e-03	3.000000e+00	2.578995e-05	2.855223e-07	3.183808e-06	1.000000e+00	5.555111e+01
70	7.000000e-03	1.000000e+00	0.000000e+00	7.429425e-06	9.572301e-05	1.000000e+00	5.611946e+01
71	7.100000e-03	3.000000e+00	4.560580e-05	9.614940e-07	9.109188e-06	1.000000e+00	5.712153e+01
72	7.200000e-03	3.000000e+00	4.023111e-05	6.019619e-07	5.819985e-06	1.000000e+00	5.811922e+01
73	7.300000e-03	3.000000e+00	5.614535e-05	9.823339e-07	9.367160e-06	1.000000e+00	5.912269e+01
74	7.400000e-03	3.000000e+00	5.842075e-05	8.451772e-07	8.323446e-06	1.000000e+00	6.012307e+01
75	7.500000e-03	3.000000e+00	7.273941e-05	1.052479e-06	1.042558e-05	1.000000e+00	6.112831e+01
76	7.600000e-03	3.000000e+00	9.129528e-05	1.146634e-06	1.148294e-05	1.000000e+00	6.213325e+01
77	7.700000e-03	3.000000e+00	9.504559e-05	1.285683e-06	1.264840e-05	1.000000e+00	6.313599e+01
78	7.800000e-03	3.000000e+00	9.377269e-05	1.305958e-06	1.291597e-05	1.000000e+00	6.414082e+01
79	7.900000e-03	4.000000e+00	3.324788e-05	4.448154e-07	4.329594e-06	1.000000e+00	6.536195e+01
80	8.000000e-03	4.000000e+00	4.474657e-05	5.158514e-07	4.902417e-06	1.000000e+00	6.659540e+01
81	8.100000e-03	4.000000e+00	4.245660e-05	5.073484e-07	4.861157e-06	1.000000e+00	6.781823e+01
82	8.200000e-03	4.000000e+00	4.398068e-05	5.113741e-07	4.881774e-06	1.000000e+00	6.904657e+01
83	8.300000e-03	4.000000e+00	4.291141e-05	5.016173e-07	4.815874e-06	1.000000e+00	7.027135e+01
84	8.400000e-03	4.000000e+00	4.712072e-05	5.324281e-07	5.135619e-06	1.000000e+00	7.150011e+01
85	8.500000e-03	4.000000e+00	5.297538e-05	6.057665e-07	5.798931e-06	1.000000e+00	7.272630e+01
86	8.600000e-03	4.000000e+00	5.591591e-05	6.621540e-07	6.267434e-06	1.000000e+00	7.395405e+01
87	8.700000e-03	4.000000e+00	6.771508e-05	9.161283e-07	8.012935e-06	1.000000e+00	7.518067e+01
88	8.800000e-03	4.000000e+00	8.203716e-05	1.146850e-06	9.718526e-06	1.000000e+00	7.642287e+01
89	8.900000e-03	4.000000e+00	8.287811e-05	1.179063e-06	9.996142e-06	1.000000e+00	7.764967e+01
90	9.000000e-03	4.000000e+00	8.784477e-05	1.320016e-06	1.090250e-05	1.000000e+00	7.888110e+01
91	9.100000e-03	4.000000e+00	9.568012e-05	1.444889e-06	1.181196e-05	1.000000e+00	8.011246e+01
92	9.200000e-03	4.000000e+00	9.886660e-05	1.518020e-06	1.239003e-05	1.000000e+00	8.134963e+01
93	9.300000e-03	5.000000e+00	4.299556e-05	6.604666e-07	5.386854e-06	1.000000e+00	8.280099e+01
94	9.400000e-03	5.000000e+00	4.302370e-05	6.703313e-07	5.414578e-06	1.000000e+00	8.425764e+01
95	9.500000e-03	5.000000e+00	4.564833e-05	7.327983e-07	5.802996e-06	1.000000e+00	8.571361e+01
96	9.600000e-03	5.000000e+00	4.688463e-05	9.010474e-07	6.611158e-06	1.000000e+00	8.716968e+01
97	9.700000e-03	5.000000e+00	5.203240e-05	1.070254e-06	7.605028e-06	1.000000e+00	8.863086e+01
98	9.800000e-03	5.000000e+00	5.378414e-05	1.070082e-06	7.703126e-06	1.000000e+00	9.008706e+01
99	9.900000e-03	5.000000e+00	5.375073e-05	1.232164e-06	8.553203e-06	1.000000e+00	9.154408e+01
100	1.000000e-02	5.000000e+00	5.412554e-05	1.354923e-06	8.950613e-06	1.000000e+00	9.300399e+01
101	1.010000e-02	5.000000e+00	6.050662e-05	1.485171e-06	9.959746e-06	1.000000e+00	9.447029e+01
102	1.020000e-02	5.000000e+00	6.109644e-05	1.502756e-06	1.006800e-05	1.000000e+00	9.593555e+01
