#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
53	5.300000e-03	-2.150000e-05	-4.028009e+04	4.027909e+04	4.288777e-01	4.288978e-01	1.964296e-05
54	5.400000e-03	-2.200000e-05	-4.121600e+04	4.121673e+04	4.491476e-01	4.491678e-01	1.966444e-05
55	5.500000e-03	-2.250000e-05	-4.215317e+04	4.215300e+04	4.698859e-01	4.699060e-01	1.960805e-05
56	5.600000e-03	-2.300000e-05	-4.309002e+04	4.308961e+04	4.910925e-01	4.911127e-01	1.967182e-05
57	5.700000e-03	-2.350000e-05	-4.402618e+04	4.402695e+04	5.127676e-01	5.127877e-01	1.962904e-05
58	5.800000e-03	-2.400000e-05	-4.496366e+04	4.496289e+04	5.349109e-01	5.349310e-01	1.963386e-05
59	5.900000e-03	-2.450000e-05	-4.589982e+04	4.590026e+04	5.575227e-01	5.575428e-01	1.966609e-05
60	6.000000e-03	-2.500000e-05	-4.683672e+04	4.683678e+04	5.806028e-01	5.806229e-01	1.961365e-05
61	6.100000e-03	-2.550000e-05	-4.777374e+04	4.777326e+04	6.041513e-01	6.041714e-01	1.966213e-05
62	6.200000e-03	-2.600000e-05	-4.870990e+04	4.871056e+04	6.281681e-01	6.281883e-01	1.963818e-05
63	6.300000e-03	-2.650000e-05	-4.964724e+04	4.964669e+04	6.526534e-01	6.526734e-01	1.962919e-05
64	6.400000e-03	-2.700000e-05	-5.058361e+04	5.058381e+04	6.776069e-01	6.776271e-01	1.966469e-05
65	6.500000e-03	-2.750000e-05	-5.152033e+04	5.152053e+04	7.030289e-01	7.030490e-01	1.961993e-05
66	6.600000e-03	-2.800000e-05	-5.245742e+04	5.245694e+04	7.289192e-01	7.289393e-01	1.965419e-05
67	6.700000e-03	-2.850000e-05	-5.339363e+04	5.339416e+04	7.552779e-01	7.552980e-01	1.964425e-05
68	6.800000e-03	-2.900000e-05	-5.433081e+04	5.433046e+04	7.821049e-01	7.821250e-01	1.962757e-05
69	6.900000e-03	-2.950000e-05	-5.526729e+04	5.526733e+04	8.094004e-01	8.094205e-01	1.966072e-05
70	7.000000e-03	-3.000000e-05	-5.620394e+04	5.620420e+04	8.371641e-01	8.371842e-01	1.962704e-05
71	7.100000e-03	-3.050000e-05	-5.714087e+04	5.714044e+04	8.653962e-01	8.654163e-01	1.964544e-05
72	7.200000e-03	-3.100000e-05	-5.807722e+04	5.807761e+04	8.940967e-01	8.941168e-01	1.965029e-05
73	7.300000e-03	-3.150000e-05	-5.901404e+04	5.901387e+04	9.232654e-01	9.232855e-01	1.962553e-05
74	7.400000e-03	-3.200000e-05	-5.995074e+04	5.995065e+04	9.529025e-01	9.529227e-01	1.965773e-05
75	7.500000e-03	-3.250000e-05	-6.088703e+04	6.088733e+04	9.830079e-01	9.830281e-01	1.963085e-05
