#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
55	3.300000e-03	1.000000e+00	0.000000e+00	1.029031e-15	1.293535e-09	1.000000e+00	4.692430e+01
56	3.360000e-03	1.000000e+00	0.000000e+00	1.049980e-15	5.904565e-09	1.000000e+00	4.753641e+01
57	3.420000e-03	1.000000e+00	0.000000e+00	1.024846e-15	2.918087e-09	1.000000e+00	4.814569e+01
58	3.480000e-03	1.000000e+00	0.000000e+00	1.083263e-15	5.281516e-09	1.000000e+00	4.876187e+01
59	3.540000e-03	1.000000e+00	0.000000e+00	1.055107e-15	9.960942e-10	1.000000e+00	4.937698e+01
60	3.600000e-03	1.000000e+00	0.000000e+00	1.056687e-15	3.113861e-09	1.000000e+00	4.999188e+01
61	3.660000e-03	1.000000e+00	0.000000e+00	1.049065e-15	3.936638e-09	1.000000e+00	5.060399e+01
62	3.720000e-03	1.000000e+00	0.000000e+00	1.037217e-15	1.993448e-09	1.000000e+00	5.122217e+01
63	3.780000e-03	1.000000e+00	0.000000e+00	1.038802e-15	3.425577e-09	1.000000e+00	5.183977e+01
64	3.840000e-03	1.000000e+00	0.000000e+00	1.037515e-15	5.111234e-09	1.000000e+00	5.245638e+01
65	3.900000e-03	1.000000e+00	0.000000e+00	1.025940e-15	2.256997e-09	1.000000e+00	5.307137e+01
66	3.960000e-03	1.000000e+00	0.000000e+00	1.047576e-15	4.488846e-09	1.000000e+00	5.369210e+01
67	4.020000e-03	1.000000e+00	0.000000e+00	1.020371e-15	1.087557e-09	1.000000e+00	5.431196e+01
68	4.080000e-03	1.000000e+00	0.000000e+00	1.009270e-15	2.120286e-09	1.000000e+00	5.492854e+01
69	4.140000e-03	1.000000e+00	0.000000e+00	1.014812e-15	2.629525e-09	1.000000e+00	5.554188e+01
70	4.200000e-03	1.000000e+00	0.000000e+00	1.046223e-15	2.043987e-09	1.000000e+00	5.616262e+01
71	4.260000e-03	1.000000e+00	0.000000e+00	1.059141e-15	4.783404e-09	1.000000e+00	5.678546e+01
72	4.320000e-03	1.000000e+00	0.000000e+00	1.038919e-15	6.498144e-09	1.000000e+00	5.740799e+01
73	4.380000e-03	1.000000e+00	0.000000e+00	1.066735e-15	5.728950e-09	1.000000e+00	5.802660e+01
74	4.440000e-03	1.000000e+00	0.000000e+00	1.063154e-15	5.937824e-09	1.000000e+00	5.864867e+01
75	4.500000e-03	1.000000e+00	0.000000e+00	9.977530e-16	5.245552e-09	1.000000e+00	5.927222e+01
76	4.560000e-03	1.000000e+00	0.000000e+00	1.028934e-15	6.284552e-09	1.000000e+00	5.989305e+01
77	4.620000e-03	1.000000e+00	0.000000e+00	1.044479e-15	6.670034e-09	1.000000e+00	6.051031e+01
78	4.680000e-03	1.000000e+00	0.000000e+00	1.036156e-15	6.270555e-09	1.000000e+00	6.113241e+01
79	4.740000e-03	1.000000e+00	0.000000e+00	1.040406e-15	4.923400e-09	1.000000e+00	6.175800e+01
80	4.800000e-03	1.000000e+00	0.000000e+00	1.072085e-15	4.947211e-09	1.000000e+00	6.238104e+01
81	4.860000e-03	1.000000e+00	0.000000e+00	1.079296e-15	5.427483e-09	1.000000e+00	6.300153e+01
82	4.920000e-03	1.000000e+00	0.000000e+00	1.031077e-15	5.224393e-09	1.000000e+00	6.362627e+01
83	4.980000e-03	1.000000e+00	0.000000e+00	1.044647e-15	4.820562e-09	1.000000e+00	6.425440e+01
84	5.040000e-03	1.000000e+00	0.000000e+00	1.040933e-15	4.822094e-09	1.000000e+00	6.487730e+01
85	5.100000e-03	1.000000e+00	0.000000e+00	1.056712e-15	3.765923e-09	1.000000e+00	6.549492e+01
86	5.160000e-03	1.000000e+00	0.000000e+00	1.050479e-15	4.672306e-09	1.000000e+00	6.612195e+01
87	5.220000e-03	1.000000e+00	0.000000e+00	1.076909e-15	4.774550e-09	1.000000e+00	6.675001e+01
88	5.280000e-03	1.000000e+00	0.000000e+00	1.113890e-15	3.312764e-09	1.000000e+00	6.737604e+01
89	5.340000e-03	1.000000e+00	0.000000e+00	1.061227e-15	3.691335e-09	1.000000e+00	6.800857e+01
90	5.400000e-03	1.000000e+00	0.000000e+00	1.037381e-15	5.164557e-09	1.000000e+00	6.863555e+01
91	5.460000e-03	1.000000e+00	0.000000e+00	1.088260e-15	3.145283e-09	1.000000e+00	6.926557e+01
92	5.520000e-03	1.000000e+00	0.000000e+00	1.090950e-15	3.744806e-09	1.000000e+00	6.989101e+01
93	5.580000e-03	1.000000e+00	0.000000e+00	1.062948e-15	1.893769e-09	1.000000e+00	7.051368e+01
94	5.640000e-03	1.000000e+00	0.000000e+00	1.015751e-15	4.265505e-09	1.000000e+00	7.114453e+01
95	5.700000e-03	1.000000e+00	0.000000e+00	1.056816e-15	1.941571e-09	1.000000e+00	7.177754e+01
96	5.760000e-03	1.000000e+00	0.000000e+00	1.034638e-15	2.054630e-09	1.000000e+00	7.240436e+01
97	5.820000e-03	1.000000e+00	0.000000e+00	1.085028e-15	2.384556e-09	1.000000e+00	7.302781e+01
98	5.880000e-03	1.000000e+00	0.000000e+00	1.076968e-15	1.582319e-09	1.000000e+00	7.366054e+01
99	5.940000e-03	1.000000e+00	0.000000e+00	1.038364e-15	1.484855e-09	1.000000e+00	7.429313e+01
100	6.000000e-03	1.000000e+00	0.000000e+00	1.050390e-15	8.616832e-10	1.000000e+00	7.492095e+01
101	6.060000e-03	1.000000e+00	0.000000e+00	1.045752e-15	2.582707e-09	1.000000e+00	7.554633e+01
102	6.120000e-03	1.000000e+00	0.000000e+00	1.035898e-15	1.302493e-09	1.000000e+00	7.617877e+01
103	6.180000e-03	1.000000e+00	0.000000e+00	1.045495e-15	2.287889e-09	1.000000e+00	7.681259e+01
104	6.240000e-03	1.000000e+00	0.000000e+00	1.074030e-15	2.719218e-09	1.000000e+00	7.744421e+01
105	6.300000e-03	1.000000e+00	0.000000e+00	1.005852e-15	1.228860e-09	1.000000e+00	7.807296e+01
106	6.360000e-03	1.000000e+00	0.000000e+00	1.046033e-15	2.982170e-09	1.000000e+00	7.870792e+01
107	6.420000e-03	1.000000e+00	0.000000e+00	1.047773e-15	2.368874e-09	1.000000e+00	7.934176e+01
108	6.480000e-03	1.000000e+00	0.000000e+00	1.024045e-15	9.455375e-10	1.000000e+00	7.997595e+01
109	6.540000e-03	1.000000e+00	0.000000e+00	1.022994e-15	7.737544e-10	1.000000e+00	8.060249e+01
110	6.600000e-03	1.000000e+00	0.000000e+00	1.038459e-15	1.904412e-09	1.000000e+00	8.123920e+01
111	6.660000e-03	1.000000e+00	0.000000e+00	1.023223e-15	2.334382e-09	1.000000e+00	8.187343e+01
112	6.720000e-03	1.000000e+00	0.000000e+00	1.055916e-15	1.675537e-09	1.000000e+00	8.250908e+01
