#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
53	3.180000e-03	-1.090000e-05	-2.065150e+04	2.065402e+04	1.125401e-01	1.125602e-01	1.985717e-05
54	3.240000e-03	-1.120000e-05	-2.121407e+04	2.121385e+04	1.188202e-01	1.188400e-01	1.955497e-05
55	3.300000e-03	-1.150000e-05	-2.179063e+04	2.178825e+04	1.252708e-01	1.252907e-01	1.969199e-05
56	3.360000e-03	-1.180000e-05	-2.235170e+04	2.235456e+04	1.318920e-01	1.319121e-01	1.985276e-05
57	3.420000e-03	-1.210000e-05	-2.292268e+04	2.292186e+04	1.386836e-01	1.387032e-01	1.945354e-05
58	3.480000e-03	-1.240000e-05	-2.349441e+04	2.349256e+04	1.456457e-01	1.456658e-01	1.986190e-05
59	3.540000e-03	-1.270000e-05	-2.405531e+04	2.405812e+04	1.527783e-01	1.527982e-01	1.968242e-05
60	3.600000e-03	-1.300000e-05	-2.463098e+04	2.462959e+04	1.600814e-01	1.601012e-01	1.955041e-05
61	3.660000e-03	-1.330000e-05	-2.519563e+04	2.519476e+04	1.675551e-01	1.675752e-01	1.986529e-05
62	3.720000e-03	-1.360000e-05	-2.576314e+04	2.576495e+04	1.751992e-01	1.752190e-01	1.958970e-05
63	3.780000e-03	-1.390000e-05	-2.633506e+04	2.633442e+04	1.830138e-01	1.830337e-01	1.968893e-05
64	3.840000e-03	-1.420000e-05	-2.689959e+04	2.689823e+04	1.909989e-01	1.910189e-01	1.973937e-05
65	3.900000e-03	-1.450000e-05	-2.747054e+04	2.747265e+04	1.991546e-01	1.991744e-01	1.965753e-05
66	3.960000e-03	-1.480000e-05	-2.803735e+04	2.803659e+04	2.074807e-01	2.075006e-01	1.968715e-05
67	4.020000e-03	-1.510000e-05	-2.860671e+04	2.860514e+04	2.159773e-01	2.159972e-01	1.968646e-05
68	4.080000e-03	-1.540000e-05	-2.917463e+04	2.917747e+04	2.246445e-01	2.246644e-01	1.974144e-05
69	4.140000e-03	-1.570000e-05	-2.974195e+04	2.973999e+04	2.334821e-01	2.335019e-01	1.960157e-05
70	4.200000e-03	-1.600000e-05	-3.031319e+04	3.031294e+04	2.424902e-01	2.425102e-01	1.974699e-05
71	4.260000e-03	-1.630000e-05	-3.087768e+04	3.087954e+04	2.516689e-01	2.516888e-01	1.972126e-05
72	4.320000e-03	-1.660000e-05	-3.144870e+04	3.144708e+04	2.610180e-01	2.610378e-01	1.957318e-05
73	4.380000e-03	-1.690000e-05	-3.201730e+04	3.201732e+04	2.705376e-01	2.705577e-01	1.981575e-05
74	4.440000e-03	-1.720000e-05	-3.258243e+04	3.258368e+04	2.802278e-01	2.802476e-01	1.963896e-05
75	4.500000e-03	-1.750000e-05	-3.315499e+04	3.315403e+04	2.900884e-01	2.901082e-01	1.963474e-05
76	4.560000e-03	-1.780000e-05	-3.372055e+04	3.372000e+04	3.001195e-01	3.001396e-01	1.979848e-05
77	4.620000e-03	-1.810000e-05	-3.428895e+04	3.429072e+04	3.103212e-01	3.103410e-01	1.960664e-05
