#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
1	2.000000e-05	-2.500000e-09	-2.316571e+01	3.652762e-01	7.987214e-09	1.634001e-08	1.516033e-08
2	4.000000e-05	-5.000000e-09	-1.387212e+00	3.389230e+00	1.696583e-08	5.847327e-08	2.754510e-08
3	6.000000e-05	-7.500000e-09	-2.051269e+01	1.305967e+01	3.433533e-08	7.611243e-08	3.246562e-08
4	8.000000e-05	-1.000000e-08	-7.695042e+00	2.658638e+01	7.400903e-08	1.174903e-07	1.737069e-08
5	1.000000e-04	-1.250000e-08	-2.399521e+01	3.058991e+01	1.185297e-07	1.490825e-07	1.049328e-08
6	1.200000e-04	-2.000000e-08	-7.121768e+01	2.399899e+01	3.302414e-07	4.258998e-07	9.845818e-08
7	1.400000e-04	-2.750000e-08	-4.561016e+01	3.095341e+01	6.389826e-07	9.056229e-07	1.794651e-07
8	1.600000e-04	-3.500000e-08	-8.141738e+01	6.316687e+01	9.773230e-07	1.324972e-06	2.765698e-07
9	1.800000e-04	-4.250000e-08	-5.562219e+01	9.855894e+01	1.510078e-06	1.878262e-06	1.874386e-07
10	2.000000e-04	-5.000000e-08	-8.461162e+01	1.124284e+02	2.121584e-06	2.359872e-06	8.318903e-08
11	2.200000e-04	-6.250000e-08	-1.470511e+02	1.035993e+02	3.300238e-06	3.629892e-06	2.012473e-07
12	2.400000e-04	-7.500000e-08	-1.493242e+02	1.066046e+02	4.908979e-06	5.476164e-06	3.402695e-07
13	2.600000e-04	-8.750000e-08	-1.900234e+02	1.529132e+02	6.599414e-06	7.486483e-06	6.804507e-07
14	2.800000e-04	-1.000000e-07	-1.605325e+02	2.099664e+02	8.693056e-06	9.755303e-06	6.172408e-07
15	3.000000e-04	-1.125000e-07	-1.879513e+02	2.379701e+02	1.116069e-05	1.186211e-05	2.651355e-07
16	3.200000e-04	-1.300000e-07	-2.658555e+02	2.412412e+02	1.480839e-05	1.552606e-05	3.556216e-07
17	3.400000e-04	-1.475000e-07	-2.902911e+02	2.403263e+02	1.932346e-05	2.029558e-05	4.946406e-07
18	3.600000e-04	-1.650000e-07	-3.481540e+02	2.802285e+02	2.420688e-05	2.566223e-05	1.063908e-06
19	3.800000e-04	-1.825000e-07	-3.200270e+02	3.595169e+02	2.961184e-05	3.161087e-05	1.240322e-06
20	4.000000e-04	-2.000000e-07	-3.468975e+02	4.108343e+02	3.586514e-05	3.735031e-05	6.783080e-07
21	4.200000e-04	-2.225000e-07	-4.267757e+02	4.248369e+02	4.431711e-05	4.564815e-05	6.329814e-07
22	4.400000e-04	-2.450000e-07	-4.664710e+02	4.293254e+02	5.397517e-05	5.549783e-05	6.908916e-07
23	4.600000e-04	-2.675000e-07	-5.485818e+02	4.621895e+02	6.457040e-05	6.651223e-05	1.307107e-06
24	4.800000e-04	-2.900000e-07	-5.368519e+02	5.484893e+02	7.586457e-05	7.877359e-05	1.877901e-06
25	5.000000e-04	-3.125000e-07	-5.580320e+02	6.219129e+02	8.842473e-05	9.099502e-05	1.373871e-06
26	5.200000e-04	-3.400000e-07	-6.354958e+02	6.516222e+02	1.047661e-04	1.069255e-04	1.080186e-06
