#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	2.2063020666e+06	1.7962497816e+06	-2.8782726101e+06	2.7143514573e-04	1.1049378247e-03	-1.7705289706e-03	1.8226345990e+06	2.2758044072e+06	-3.7636042958e+06	1.8730619327e-04	1.1693848575e-03	-1.9338664866e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3681633529e+06	-4.9754873383e+06	-2.1213043398e+06	8.1105429207e-05	-1.4747472779e-03	-6.2876007678e-04	-5.5560698211e+05	-6.9161059085e+06	-3.4349561981e+06	-1.8520232737e-05	-1.5822264854e-03	-7.8582930117e-04	-2.1098885586e+07	-1.3515921445e+07	2.4071355387e+06	-7.0329618619e-04	-2.2526535741e-03	4.0118925645e-04	-2.3596024247e+07	-1.3710585124e+07	2.0950194070e+06	-7.8653414158e-04	-2.2850975207e-03	3.4916990116e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2	2.000000e-02	2.0556495123e+06	1.6735967587e+06	-2.6817360038e+06	5.4287029146e-04	2.2098756494e-03	-3.5410579412e-03	1.7252175531e+06	2.1541661247e+06	-3.5624453732e+06	3.7461238655e-04	2.3387697150e-03	-3.8677329731e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3188887179e+06	-4.7962943187e+06	-2.0449052046e+06	1.6221085841e-04	-2.9494945559e-03	-1.2575201536e-03	-1.1112139642e+06	-7.1148748053e+06	-3.5336768456e+06	-3.7040465474e-05	-3.1644529709e-03	-1.5716586023e-03	-4.2197771172e+07	-2.3430543635e+07	4.1728930214e+06	-1.4065923724e-03	-4.5053071482e-03	8.0237851291e-04	-4.7192048495e+07	-2.5359197733e+07	3.8749630971e+06	-1.5730682832e-03	-4.5701950414e-03	6.9833980233e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
3	3.000000e-02	1.9152839411e+06	1.5593188317e+06	-2.4986194736e+06	8.1430543719e-04	3.3148134742e-03	-5.3115869118e-03	1.6330073001e+06	2.0390292232e+06	-3.3720380889e+06	5.6191857982e-04	3.5081545724e-03	-5.8015994597e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2713887172e+06	-4.6235549661e+06	-1.9712575971e+06	2.4331628762e-04	-4.4242418338e-03	-1.8862802304e-03	-1.6668209463e+06	-7.3134597249e+06	-3.6323061191e+06	-5.5560698211e-05	-4.7466794563e-03	-2.3574879035e-03	-6.3296656758e+07	-3.1040490300e+07	5.5281963310e+06	-2.1098885586e-03	-6.7579607223e-03	1.2035677694e-03	-7.0788072742e+07	-3.3816201894e+07	5.1672192395e+06	-2.3596024247e-03	-6.8552925621e-03	1.0475097035e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
4	4.000000e-02	1.7845029287e+06	1.4528441252e+06	-2.3280066587e+06	1.0857405829e-03	4.4197512989e-03	-7.0821158825e-03	1.5457255448e+06	1.9300462140e+06	-3.1918077841e+06	7.4922477309e-04	4.6775394299e-03	-7.7354659463e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2255994371e+06	-4.4570368505e+06	-1.9002624208e+06	3.2442171683e-04	-5.8989891117e-03	-2.5150403071e-03	-2.2224279284e+06	-7.5118608378e+06	-3.7308441029e+06	-7.4080930947e-05	-6.3289059417e-03	-3.1433172047e-03	-8.4395542343e+07	-3.8387485064e+07	6.8366688812e+06	-2.8131847448e-03	-9.0106142964e-03	1.6047570258e-03	-9.4384096990e+07	-4.1947074796e+07	6.4096415264e+06	-3.1461365663e-03	-9.1403900829e-03	1.3966796047e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5	5.000000e-02	1.6626520142e+06	1.3536398132e+06	-2.1690437701e+06	1.3571757287e-03	5.5246891236e-03	-8.8526448531e-03	1.4631088665e+06	1.8268881807e+06	-3.0212105150e+06	9.3653096637e-04	5.8469242874e-03	-9.6693324329e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1814592657e+06	-4.2965159131e+06	-1.8318241477e+06	4.0552714604e-04	-7.3737363897e-03	-3.1438003839e-03	-2.7780349105e+06	-7.7100783140e+06	-3.8292908817e+06	-9.2601163684e-05	-7.9111324271e-03	-3.9291465058e-03	-1.0549442793e+08	-4.5480613892e+07	8.0999288485e+06	-3.5164809310e-03	-1.1263267870e-02	2.0059462823e-03	-1.1798012124e+08	-4.9764393184e+07	7.6041517231e+06	-3.9326707079e-03	-1.1425487604e-02	1.7458495058e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
6	6.000000e-02	1.5491214253e+06	1.2612094527e+06	-2.0209353178e+06	1.6286108744e-03	6.6296269483e-03	-1.0623173824e-02	1.3849079240e+06	1.7292437874e+06	-2.8597314102e+06	1.1238371596e-03	7.0163091449e-03	-1.1603198919e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1389088101e+06	-4.1417761645e+06	-1.7658506906e+06	4.8663257524e-04	-8.8484836676e-03	-3.7725604607e-03	-3.3336418926e+06	-7.9081123234e+06	-3.9276465398e+06	-1.1112139642e-04	-9.4933589126e-03	-4.7149758070e-03	-1.2000000000e+08	-5.0214477155e+07	8.9430123587e+06	-4.2197771172e-03	-1.3515921445e-02	2.4071355387e-03	-1.2000000000e+08	-5.0419399948e+07	7.7042387630e+06	-4.7192048495e-03	-1.3710585124e-02	2.0950194070e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
7	7.000000e-02	1.4433430266e+06	1.1750904989e+06	-1.8829401301e+06	1.9000460201e-03	7.7345647731e-03	-1.2393702794e-02	1.3108867028e+06	1.6368183383e+06	-2.7068831179e+06	1.3111433529e-03	8.1856940023e-03	-1.3537065406e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0978908163e+06	-3.9926093941e+06	-1.7022532788e+06	5.6773800445e-04	-1.0323230946e-02	-4.4013205375e-03	-3.8892488747e+06	-8.1059630359e+06	-4.0259111615e+06	-1.2964162916e-04	-1.1075585398e-02	-5.5008051082e-03	-1.2000000000e+08	-5.0214477155e+07	8.9430123587e+06	-4.9230733034e-03	-1.5768575019e-02	2.8083247952e-03	-1.2000000000e+08	-5.0419399948e+07	7.7042387630e+06	-5.5057389911e-03	-1.5995682645e-02	2.4441893081e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
8	8.000000e-02	1.3447874766e+06	1.0948519913e+06	-1.7543676447e+06	2.1714811658e-03	8.8395025978e-03	-1.4164231765e-02	1.2408218033e+06	1.5493328888e+06	-2.5622043342e+06	1.4984495462e-03	9.3550788598e-03	-1.5470931893e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0583500925e+06	-3.8488148902e+06	-1.6409463385e+06	6.4884343366e-04	-1.1797978223e-02	-5.0300806143e-03	-4.4448558568e+06	-8.3036306211e+06	-4.1240848313e+06	-1.4816186189e-04	-1.2657811883e-02	-6.2866344093e-03	-1.2000000000e+08	-5.0214477155e+07	8.9430123587e+06	-5.6263694896e-03	-1.8021228593e-02	3.2095140516e-03	-1.2000000000e+08	-5.0419399948e+07	7.7042387630e+06	-6.2922731326e-03	-1.8280780166e-02	2.7933592093e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9	9.000000e-02	1.2529615786e+06	1.0200923962e+06	-1.6345744528e+06	2.4429163116e-03	9.9444404225e-03	-1.5934760736e-02	1.1745017660e+06	1.4665234035e+06	-2.4252584114e+06	1.6857557395e-03	1.0524463717e-02	-1.7404798379e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0202334346e+06	-3.7101991698e+06	-1.5818473780e+06	7.2994886286e-04	-1.3272725501e-02	-5.6588406911e-03	-5.0004628389e+06	-8.5011152486e+06	-4.2221676331e+06	-1.6668209463e-04	-1.4240038369e-02	-7.0724637105e-03	-1.2000000000e+08	-5.0214477155e+07	8.9430123587e+06	-6.3296656758e-03	-2.0273882167e-02	3.6107033081e-03	-1.2000000000e+08	-5.0419399948e+07	7.7042387630e+06	-7.0788072742e-03	-2.0565877686e-02	3.1425291105e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
10	1.000000e-01	1.1674058131e+06	9.5043759807e+05	-1.5229610793e+06	2.7143514573e-03	1.1049378247e-02	-1.7705289706e-02	1.1117264338e+06	1.3881399591e+06	-2.2956320398e+06	1.8730619327e-03	1.1693848575e-02	-1.9338664866e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8348955459e+05	-3.5765757180e+06	-1.5248768767e+06	8.1105429207e-04	-1.4747472779e-02	-6.2876007678e-03	-5.5560698211e+06	-8.6984170877e+06	-4.3201596511e+06	-1.8520232737e-04	-1.5822264854e-02	-7.8582930117e-03	-1.2000000000e+08	-5.0214477155e+07	8.9430123587e+06	-7.0329618619e-03	-2.2526535741e-02	4.0118925645e-03	-1.2000000000e+08	-5.0419399948e+07	7.7042387630e+06	-7.8653414158e-03	-2.2850975207e-02	3.4916990116e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
