#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0729950941e+07	1.1708284480e+07	-1.0337379145e+06	-3.5766503137e-04	1.9650103282e-03	-1.7349302387e-04	2.0159776188e+06	4.1007976695e+06	1.9557855673e+05	1.8989639572e-04	1.9313872579e-03	9.2113282057e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.6196970637e+07	4.9612674174e+06	4.0975454727e+06	-5.3989902124e-04	8.2687790291e-04	6.8292424545e-04	-1.5781440904e+07	7.2143181740e+06	3.9924238413e+06	-5.2604803013e-04	1.2023863623e-03	6.6540397355e-04	2.6369519594e+06	-9.3543830899e+05	-2.4861421495e+05	7.2506148538e-04	-1.2860497655e-03	-3.4179726206e-04	2.5933612042e+06	-1.0503872064e+06	-2.4450443914e+05	7.9427737251e-04	-1.6085279387e-03	-3.7442594416e-04
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.1459901882e+07	1.5870527640e+07	-1.4012271545e+06	-7.1533006273e-04	3.9300206564e-03	-3.4698604774e-04	1.9478129055e+06	3.9621405263e+06	1.8896560819e+05	3.7979279144e-04	3.8627745158e-03	1.8422656411e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.2393941274e+07	9.9225348349e+06	8.1950909454e+06	-1.0797980425e-03	1.6537558058e-03	1.3658484909e-03	-3.1562881808e+07	1.4428636348e+07	7.9848476826e+06	-1.0520960603e-03	2.4047727247e-03	1.3308079471e-03	2.3271542088e+06	-8.2553995347e+05	-2.1940620292e+05	1.4501229708e-03	-2.5720995310e-03	-6.8359452412e-04	2.2642585895e+06	-9.1709101325e+05	-2.1347634707e+05	1.5885547450e-03	-3.2170558775e-03	-7.4885188833e-04
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.2189852823e+07	1.9958997975e+07	-1.7622029067e+06	-1.0729950941e-03	5.8950309846e-03	-5.2047907161e-04	1.8819529937e+06	3.8281716913e+06	1.8257625824e+05	5.6968918716e-04	5.7941617737e-03	2.7633984617e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.8590911912e+07	1.4883802252e+07	1.2292636418e+07	-1.6196970637e-03	2.4806337087e-03	2.0487727363e-03	-4.7344322712e+07	2.1642954522e+07	1.1977271524e+07	-1.5781440904e-03	3.6071590870e-03	1.9962119206e-03	2.0537525124e+06	-7.2855281662e+05	-1.9362964379e+05	2.1751844561e-03	-3.8581492965e-03	-1.0253917862e-03	1.9769197411e+06	-8.0071036799e+05	-1.8638578064e+05	2.3828321175e-03	-4.8255838162e-03	-1.1232778325e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.2919803764e+07	2.3975003054e+07	-2.1167806181e+06	-1.4306601255e-03	7.8600413128e-03	-6.9397209549e-04	1.8183199528e+06	3.6987326424e+06	1.7640294651e+05	7.5958558288e-04	7.7255490316e-03	3.6845312823e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.4787882549e+07	1.9845069670e+07	1.6390181891e+07	-2.1595960850e-03	3.3075116116e-03	2.7316969818e-03	-6.3125763616e+07	2.7532582552e+07	1.5236608137e+07	-2.1041921205e-03	4.8095454493e-03	2.6616158942e-03	1.8124709425e+06	-6.4296004617e+05	-1.7088139922e+05	2.9002459415e-03	-5.1441990620e-03	-1.3671890482e-03	1.7260447551e+06	-6.9909865449e+05	-1.6273306013e+05	3.1771094900e-03	-6.4341117550e-03	-1.4977037767e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-5.3649754705e+07	2.7919827274e+07	-2.4650736895e+06	-1.7883251568e-03	9.8250516410e-03	-8.6746511936e-04	1.7568384874e+06	3.5736702172e+06	1.7043836825e+05	9.4948197860e-04	9.6569362895e-03	4.6056641028e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.0984853186e+07	2.4806337087e+07	2.0487727363e+07	-2.6994951062e-03	4.1343895145e-03	3.4146212272e-03	-7.8907204520e+07	3.2439421376e+07	1.7952066457e+07	-2.6302401507e-03	6.0119318116e-03	3.3270198677e-03	1.5995359215e+06	-5.6742299466e+05	-1.5080569291e+05	3.6253074269e-03	-6.4302488275e-03	-1.7089863103e-03	1.5070062960e+06	-6.1038166639e+05	-1.4208191616e+05	3.9713868625e-03	-8.0426396937e-03	-1.8721297208e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.4379705646e+07	3.1794732265e+07	-2.8071935117e+06	-2.1459901882e-03	1.1790061969e-02	-1.0409581432e-03	1.6974358479e+06	3.4528364325e+06	1.6467546573e+05	1.1393783743e-03	1.1588323547e-02	5.5267969234e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.7181823823e+07	2.9767604505e+07	2.4585272836e+07	-3.2393941274e-03	4.9612674174e-03	4.0975454727e-03	-9.4688645424e+07	3.7218881088e+07	2.0597032820e+07	-3.1562881808e-03	7.2143181740e-03	3.9924238413e-03	1.4116172040e+06	-5.0076028329e+05	-1.3308854631e+05	4.3503689123e-03	-7.7162985930e-03	-2.0507835724e-03	1.3157642463e+06	-5.3292303778e+05	-1.2405144280e+05	4.7656642351e-03	-9.6511676324e-03	-2.2465556650e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.5109656587e+07	3.5600957296e+07	-3.1432495012e+06	-2.5036552196e-03	1.3755072297e-02	-1.2144511671e-03	1.6400417445e+06	3.3360883083e+06	1.5910741983e+05	1.3292747700e-03	1.3519710805e-02	6.4479297440e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1337879446e+08	3.4728871922e+07	2.8682818309e+07	-3.7792931487e-03	5.7881453203e-03	4.7804697181e-03	-1.1047008633e+08	4.1874268385e+07	2.3173337162e+07	-3.6823362109e-03	8.4167045363e-03	4.6578278148e-03	1.2457757927e+06	-4.4192932553e+05	-1.1745286811e+05	5.0754303977e-03	-9.0023483585e-03	-2.3925808344e-03	1.1487911872e+06	-4.6529406082e+05	-1.0830907182e+05	5.5599416076e-03	-1.1259695571e-02	-2.6209816091e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.5839607528e+07	3.9339719671e+07	-3.4733491351e+06	-2.8613202509e-03	1.5720082626e-02	-1.3879441910e-03	1.5845882641e+06	3.2232876993e+06	1.5372764203e+05	1.5191711658e-03	1.5451098063e-02	7.3690625645e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2000000000e+08	3.9326085324e+07	3.2479689023e+07	-4.3191921699e-03	6.6150232232e-03	5.4633939636e-03	-1.2000000000e+08	4.4626783370e+07	2.4696586647e+07	-4.2083842411e-03	9.6190908986e-03	5.3232317884e-03	1.0994179734e+06	-3.9001002133e+05	-1.0365412058e+05	5.8004918831e-03	-1.0288398124e-02	-2.7343780965e-03	1.0030073362e+06	-4.0624733345e+05	-9.4564438531e+04	6.3542189801e-03	-1.2868223510e-02	-2.9954075533e-03
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.6569558469e+07	4.3012215118e+07	-3.7975979857e+06	-3.2189852823e-03	1.7685092954e-02	-1.5614372148e-03	1.5310097900e+06	3.1143011313e+06	1.4852976654e+05	1.7090675615e-03	1.7382485321e-02	8.2901953851e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2000000000e+08	3.9326085324e+07	3.2479689023e+07	-4.8590911912e-03	7.4419011262e-03	6.1463182090e-03	-1.2000000000e+08	4.4626783370e+07	2.4696586647e+07	-4.7344322712e-03	1.0821477261e-02	5.9886357619e-03	9.7025475000e+05	-3.4419036699e+05	-9.1476495094e+04	6.5255533684e-03	-1.1574447889e-02	-3.0761753585e-03	8.7572374130e+05	-3.5469375139e+05	-8.2564026123e+04	7.1484963526e-03	-1.4476751449e-02	-3.3698334975e-03
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0729950941e+08	4.6619618171e+07	-4.1160997539e+06	-3.5766503137e-03	1.9650103282e-02	-1.7349302387e-03	1.4792429240e+06	3.0089996430e+06	1.4350764286e+05	1.8989639572e-03	1.9313872579e-02	9.2113282057e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2000000000e+08	3.9326085324e+07	3.2479689023e+07	-5.3989902124e-03	8.2687790291e-03	6.8292424545e-03	-1.2000000000e+08	4.4626783370e+07	2.4696586647e+07	-5.2604803013e-03	1.2023863623e-02	6.6540397355e-03	8.5626604500e+05	-3.0375375567e+05	-8.0729536922e+04	7.2506148538e-03	-1.2860497655e-02	-3.4179726206e-03	7.6459268385e+05	-3.0968241984e+05	-7.2086489546e+04	7.9427737251e-03	-1.6085279387e-02	-3.7442594416e-03
