#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.4783036767e-02	-1.3069416016e+00	2.3939463255e-01	1.1423300058e+00	2.9913214707e-01	4.3564720052e-01	2.3939463255e-01	-9.7417398014e-01	-6.3565581252e-01	-2.4505155029e+00	-7.1818389766e-01	3.8043552131e+00	-8.0095970457e-04	1.2112807474e-03	-5.8316287274e-04	-3.0682357717e-03	-2.3447665370e-04	-6.1228015231e-04	1.0832246698e-03	-3.7429837903e-04	-1.6111401204e-05	-7.5486620349e-04	1.6668726569e-04	6.0429033901e-04
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.4591548216e-01	-2.6138832031e+00	-4.8955413491e-01	2.9575218559e+00	-5.8366192862e-01	8.7129440103e-01	-4.8955413491e-01	2.0192166250e-01	-6.7485910497e-01	-4.9010310058e+00	-7.7512738028e-01	6.3510174911e+00	-1.6988024466e-04	2.4225614949e-03	-4.6034047192e-05	-4.3537671207e-03	-7.8818296898e-05	-1.2245603046e-03	5.8574482599e-04	-9.2452346183e-04	3.1436311984e-05	-1.5097324070e-03	-3.4086996556e-04	1.8191660605e-03
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.4134723037e-01	-3.9208248047e+00	-4.7460068791e-01	4.2540782622e+00	-5.6538892149e-01	1.3069416016e+00	-4.7460068791e-01	-2.6695199215e-01	-6.5373094047e-01	-7.3515465087e+00	-7.5145108919e-01	8.7567285384e+00	-1.6456171561e-04	3.6338422423e-03	-4.4627935721e-05	-5.8811915476e-03	-7.6350691541e-05	-1.8368404569e-03	5.6785323120e-04	-1.3732745305e-03	3.0452119038e-05	-2.2645986105e-03	-3.3045808136e-04	2.5646045728e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3692199922e-01	-5.2277664062e+00	-4.6010399444e-01	5.5509484014e+00	-5.4768799688e-01	1.7425888021e+00	-4.6010399444e-01	-7.3479681076e-01	-6.3326424639e-01	-9.8020620116e+00	-7.2849799119e-01	1.1163824249e+01	-1.5940969652e-04	4.8451229897e-03	-4.3264773971e-05	-7.4097854092e-03	-7.3960340787e-05	-2.4491206092e-03	5.5050813575e-04	-1.8220545224e-03	2.9498738731e-05	-3.0194648139e-03	-3.2036422849e-04	3.3103303037e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3263531108e-01	-6.5347080078e+00	-4.4605010294e-01	6.8481227996e+00	-5.3054124431e-01	2.1782360026e+00	-4.4605010294e-01	-1.2016446553e+00	-6.1343831373e-01	-1.2252577515e+01	-7.0624599631e-01	1.3572261825e+01	-1.5441897435e-04	6.0564037372e-03	-4.1943250040e-05	-8.9395125396e-03	-7.1644825985e-05	-3.0614007615e-03	5.3369284681e-04	-2.2708624699e-03	2.8575206397e-05	-3.7743310174e-03	-3.1057869270e-04	4.0563345037e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2848282851e-01	-7.8416496093e+00	-4.3242548801e-01	8.1455922688e+00	-5.1393131402e-01	2.6138832031e+00	-4.3242548801e-01	-1.6675264011e+00	-5.9423308184e-01	-1.4703093017e+01	-6.8467368935e-01	1.5981999789e+01	-1.4958449932e-04	7.2676844846e-03	-4.0662092101e-05	-1.0470337891e-02	-6.9401804208e-05	-3.6736809138e-03	5.1739118142e-04	-2.7196974373e-03	2.7680587569e-05	-4.5291972209e-03	-3.0109205641e-04	4.8026086898e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2446034986e-01	-9.1485912109e+00	-4.1921703739e-01	9.4433478984e+00	-4.9784139946e-01	3.0495304036e+00	-4.1921703739e-01	-2.1324719668e+00	-5.7562911812e-01	-1.7153608520e+01	-6.6376030920e-01	1.8392997948e+01	-1.4490137971e-04	8.4789652321e-03	-3.9420067173e-05	-1.2002227501e-02	-6.7229005878e-05	-4.2859610661e-03	5.0158745092e-04	-3.1685585205e-03	2.6813977038e-05	-5.2840634244e-03	-2.9189518974e-04	5.5491446371e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2056380505e-01	-1.0455532812e+01	-4.0641203932e-01	1.0741381047e+01	-4.8225522020e-01	3.4851776041e+00	-4.0641203932e-01	-2.5965103446e+00	-5.5760759835e-01	-1.9604124023e+01	-6.4348572893e-01	2.0805217351e+01	-1.4036487696e-04	9.6902459795e-03	-3.8215979937e-05	-1.3535148457e-02	-6.5124232475e-05	-4.8982412184e-03	4.8626644589e-04	-3.6174448451e-03	2.5974497932e-05	-6.0389296279e-03	-2.8297924166e-04	6.2959343716e-03
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1678925139e-01	-1.1762474414e+01	-3.9399817034e-01	1.2039683333e+01	-4.6715700555e-01	3.9208248047e+00	-3.9399817034e-01	-3.0596696288e+00	-5.4015028767e-01	-2.2054639526e+01	-6.2383043637e-01	2.3218620250e+01	-1.3597040086e-04	1.0901526727e-02	-3.7048671585e-05	-1.5069068862e-02	-6.3085354305e-05	-5.5105213707e-03	4.7141342146e-04	-4.0663555660e-03	2.5161300835e-05	-6.7937958314e-03	-2.7433563150e-04	7.0429701621e-03
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1313286964e-01	-1.3069416016e+01	-3.8196348339e-01	1.3338246629e+01	-4.5253147855e-01	4.3564720052e+00	-3.8196348339e-01	-3.5219770432e+00	-5.2323952208e-01	-2.4505155029e+01	-6.0477551537e-01	2.5633170067e+01	-1.3171350490e-04	1.2112807474e-02	-3.5917018704e-05	-1.6603957810e-02	-6.1110308353e-05	-6.1228015231e-03	4.5701408314e-04	-4.5152898661e-03	2.4373562922e-05	-7.5486620349e-03	-2.6595604070e-04	7.7902445127e-03
