#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	-8.1649658100e-07	8.1649658100e-07	0.0000000000e+00	0.0000000000e+00	-4.7140452100e-07	-4.7140452100e-07	9.4280904150e-07	0.0000000000e+00	-3.3333333350e-07	-3.3333333350e-07	-3.3333333350e-07	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.3785920027e+00	5.6517580851e-01	2.5590702893e+00	2.5434590489e-01	-2.0969018539e+00	-1.1623462375e-01	2.8269791129e+00	-6.1384263528e-01	-1.1587607623e+00	-2.8321284044e+00	-2.0542616358e+00	6.0451508026e+00	4.5191791563e-04	2.2313626549e-04	-3.1876468969e-03	-5.2649319713e-03	-2.4391174529e-03	-4.1025691128e-03	3.8264566273e-03	-9.8082392618e-04	3.1036020713e-03	7.1902328552e-04	3.4846830086e-03	7.9195383372e-04
2	2.000000e-02	-1.6329931620e-06	1.6329931620e-06	0.0000000000e+00	0.0000000000e+00	-9.4280904200e-07	-9.4280904200e-07	1.8856180830e-06	0.0000000000e+00	-6.6666666700e-07	-6.6666666700e-07	-6.6666666700e-07	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.0660545147e+00	3.1548298142e-01	5.2734468222e+00	4.7712471106e-01	-3.0771764401e+00	-3.5438034830e-01	5.3637479159e+00	-1.9321911276e+00	-1.1033291132e+00	-6.2215581658e+00	-3.7965763003e+00	1.1121463579e+01	1.0171782495e-03	5.8145299608e-04	-5.9251643171e-03	-9.6811008606e-03	-3.8713111179e-03	-7.3171270020e-03	7.4319626360e-03	-1.8562355262e-03	5.3890007686e-03	9.8377465730e-04	6.4912811001e-03	1.3159213958e-03
3	3.000000e-02	-2.4494897430e-06	2.4494897430e-06	0.0000000000e+00	0.0000000000e+00	-1.4142135630e-06	-1.4142135630e-06	2.8284271245e-06	0.0000000000e+00	-1.0000000005e-06	-1.0000000005e-06	-1.0000000005e-06	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.7542909337e+00	-7.3778864664e-02	8.1560321033e+00	6.7203769506e-01	-4.0605095492e+00	-4.7816419834e-01	6.6195349256e+00	-2.0808611781e+00	-1.0507343926e+00	-9.6728521942e+00	-3.7681431621e+00	1.4491729749e+01	1.5823282270e-03	1.1730969863e-03	-6.6399022499e-03	-1.2220986362e-02	-5.3050330663e-03	-1.0374114110e-02	9.0024974077e-03	-3.1564820770e-03	7.6758320958e-03	1.0139495596e-03	7.7783833480e-03	1.5200616018e-03
4	4.000000e-02	-3.2659863240e-06	3.2659863240e-06	0.0000000000e+00	0.0000000000e+00	-1.8856180840e-06	-1.8856180840e-06	3.7712361660e-06	0.0000000000e+00	-1.3333333340e-06	-1.3333333340e-06	-1.3333333340e-06	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1395169419e+01	-4.6225365234e-01	1.0990389884e+01	8.6703318731e-01	-4.8543120167e+00	-6.0180440284e-01	7.6829626980e+00	-2.2268462785e+00	-1.0008240292e+00	-1.3123601510e+01	-3.7397020753e+00	1.7864127614e+01	2.0430462880e-03	1.7646506518e-03	-7.2503987014e-03	-1.4762559652e-02	-6.7141336703e-03	-1.3431957875e-02	1.0546806141e-02	-4.4572479923e-03	9.8175849645e-03	1.0445332134e-03	8.8032062687e-03	1.7248630509e-03
5	5.000000e-02	-4.0824829050e-06	4.0824829050e-06	0.0000000000e+00	0.0000000000e+00	-2.3570226050e-06	-2.3570226050e-06	4.7140452075e-06	0.0000000000e+00	-1.6666666675e-06	-1.6666666675e-06	-1.6666666675e-06	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.3901319977e+01	-8.5403677334e-01	1.3689178833e+01	1.0661779170e+00	-5.1090477701e+00	-7.2320906730e-01	8.2046556310e+00	-2.3723987936e+00	-9.5345393213e-01	-1.6570244810e+01	-3.7112521333e+00	2.1234950875e+01	2.2099118295e-03	2.3585100936e-03	-7.5672272421e-03	-1.7302129146e-02	-8.0511918786e-03	-1.6480633637e-02	1.2017534079e-02	-5.7549921417e-03	1.1548297484e-02	1.0723792733e-03	9.0892230101e-03	1.9323112557e-03
6	6.000000e-02	-4.8989794860e-06	4.8989794860e-06	0.0000000000e+00	0.0000000000e+00	-2.8284271260e-06	-2.8284271260e-06	5.6568542490e-06	0.0000000000e+00	-2.0000000010e-06	-2.0000000010e-06	-2.0000000010e-06	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.6405785297e+01	-1.8075102973e+00	1.6385469274e+01	1.8278263195e+00	-5.3568367502e+00	-5.5465573796e-01	8.7168849054e+00	-2.8053924172e+00	-9.0848800939e-01	-1.9522097105e+01	-3.6827924455e+00	2.4113377560e+01	2.3715162088e-03	3.2832960472e-03	-7.8789735399e-03	-1.9347411587e-02	-9.3882927945e-03	-1.8148925820e-02	1.3486829460e-02	-6.5681072681e-03	1.3273002044e-02	6.6739529573e-04	9.3624152160e-03	2.4200386144e-03
7	7.000000e-02	-5.7154760670e-06	5.7154760670e-06	0.0000000000e+00	0.0000000000e+00	-3.2998316470e-06	-3.2998316470e-06	6.5996632905e-06	0.0000000000e+00	-2.3333333345e-06	-2.3333333345e-06	-2.3333333345e-06	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.8908566580e+01	-2.7673531658e+00	1.9079289055e+01	2.5966306903e+00	-5.5976378785e+00	-3.8232468472e-01	9.2197519852e+00	-3.2397894220e+00	-8.6579771475e-01	-2.2467225428e+01	-3.6543221377e+00	2.6987345280e+01	2.5279184071e-03	4.2121623473e-03	-8.1856910217e-03	-2.1387844559e-02	-1.0725391430e-02	-1.9800595094e-02	1.4954707431e-02	-7.3755458927e-03	1.4991718185e-02	2.5733142058e-04	9.6229199134e-03	2.9118405845e-03
8	8.000000e-02	-6.5319726480e-06	6.5319726480e-06	0.0000000000e+00	0.0000000000e+00	-3.7712361680e-06	-3.7712361680e-06	7.5424723320e-06	0.0000000000e+00	-2.6666666680e-06	-2.6666666680e-06	-2.6666666680e-06	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.1409665663e+01	-3.7335215495e+00	2.1770665710e+01	3.3725215032e+00	-5.8314171832e+00	-2.0625521624e-01	9.7133572467e+00	-3.6756848472e+00	-8.2526162017e-01	-2.5405702675e+01	-3.6258403515e+00	2.9856804647e+01	2.6791767123e-03	5.1450704165e-03	-8.4874325524e-03	-2.3423400178e-02	-1.2062445472e-02	-2.1435778729e-02	1.6421182966e-02	-8.1773399145e-03	1.6704467606e-02	-1.5777127424e-04	9.8708726686e-03	3.4076518228e-03
9	9.000000e-02	-7.3484692290e-06	7.3484692290e-06	0.0000000000e+00	0.0000000000e+00	-4.2426406890e-06	-4.2426406890e-06	8.4852813735e-06	0.0000000000e+00	-3.0000000015e-06	-3.0000000015e-06	-3.0000000015e-06	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.3909084985e+01	-4.7059715489e+00	2.4459626460e+01	4.1554300743e+00	-6.0581473376e+00	-2.6486121991e-02	1.0197799989e+01	-4.1131665297e+00	-7.8676501291e-01	-2.8337600724e+01	-3.5973462442e+00	3.2721711981e+01	2.8253487270e-03	6.0819820871e-03	-8.7842504404e-03	-2.5454055023e-02	-1.3399415141e-02	-2.3054613243e-02	1.7886270873e-02	-8.9735221437e-03	1.8411274011e-02	-5.7787192399e-04	1.0106407602e-02	3.9074092010e-03
10	1.000000e-01	-8.1649658100e-06	8.1649658100e-06	0.0000000000e+00	0.0000000000e+00	-4.7140452100e-06	-4.7140452100e-06	9.4280904150e-06	0.0000000000e+00	-3.3333333350e-06	-3.3333333350e-06	-3.3333333350e-06	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.6406827553e+01	-5.6846592098e+00	2.7146198221e+01	4.9452885425e+00	-6.2778072258e+00	1.5694431763e-01	1.0673178448e+01	-4.5523155394e+00	-7.5019951576e-01	-3.1262990454e+01	-3.5688389881e+00	3.5582028958e+01	2.9664913774e-03	7.0228595948e-03	-9.0761964441e-03	-2.7479789855e-02	-1.4736263051e-02	-2.4657234388e-02	1.9349985792e-02	-9.7641262228e-03	2.0112162971e-02	-1.0029298801e-03	1.0329657406e-02	4.4110516917e-03
