#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.7161584910e-01	-1.2214254922e-01	1.8256704327e+00	-2.4751437325e+00	-1.0127458019e+00	-2.3410655267e-01	5.2345839237e+00	-3.9877315691e+00	0.0000000000e+00	-1.2214254922e-01	1.7722383709e+00	-1.6500958217e+00	5.4909145610e-04	-3.4550073213e-04	-2.9801329103e-03	6.8377724103e-04	4.1835539512e-04	4.2628190918e-05	-5.9216412384e-04	1.3118053780e-04	1.3142472293e-04	2.6379669954e-04	5.4362066150e-03	-1.3426854946e-03
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.5854584575e-01	-2.4428509844e-01	4.4360267178e+00	-4.9502874651e+00	-9.9559142254e-01	-4.6821310534e-01	9.4392676661e+00	-7.9754631382e+00	0.0000000000e+00	-2.4428509844e-01	3.5444767418e+00	-3.3001916434e+00	5.3979067880e-04	-6.9100146426e-04	-5.4018735873e-03	1.3675544821e-03	4.1126908861e-04	8.5256381835e-05	-7.5888654605e-04	2.6236107560e-04	1.2919858726e-04	5.2759339907e-04	9.3386066523e-03	-2.6853709891e-03
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.4569722845e-01	-3.6642764766e-01	7.0461616168e+00	-7.4254311976e+00	-9.7872761234e-01	-7.0231965801e-01	1.3644241978e+01	-1.1963194707e+01	0.0000000000e+00	-3.6642764766e-01	5.3167151127e+00	-4.9502874651e+00	5.3064744258e-04	-1.0365021964e-03	-7.8237718053e-03	2.0513317231e-03	4.0430281339e-04	1.2788457275e-04	-9.2572899955e-04	3.9354161341e-04	1.2701015895e-04	7.9139009861e-04	1.3241439427e-02	-4.0280564837e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.3306624726e-01	-4.8857019688e-01	9.6560788798e+00	-9.9005749302e+00	-9.6214944953e-01	-9.3642621068e-01	1.7849501937e+01	-1.5950926276e+01	0.0000000000e+00	-4.8857019688e-01	7.0889534837e+00	-6.6003832868e+00	5.2165907892e-04	-1.3820029285e-03	-1.0245824896e-02	2.7351089641e-03	3.9745453632e-04	1.7051276367e-04	-1.0926894512e-03	5.2472215121e-04	1.2485879930e-04	1.0551867981e-03	1.7144697611e-02	-5.3707419783e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.2064921575e-01	-6.1071274610e-01	1.2265782193e+01	-1.2375718663e+01	-9.4585209568e-01	-1.1705327634e+00	2.2055042705e+01	-1.9938657845e+01	0.0000000000e+00	-6.1071274610e-01	8.8611918546e+00	-8.2504791085e+00	5.1282296453e-04	-1.7275036606e-03	-1.2668030236e-02	3.4188862051e-03	3.9072225869e-04	2.1314095459e-04	-1.2597659023e-03	6.5590268901e-04	1.2274388042e-04	1.3189834977e-03	2.1048373996e-02	-6.7134274728e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.0844250995e-01	-7.3285529532e-01	1.4875275181e+01	-1.4850862395e+01	-9.2983079431e-01	-1.4046393160e+00	2.6260859525e+01	-2.3926389415e+01	0.0000000000e+00	-7.3285529532e-01	1.0633430225e+01	-9.9005749302e+00	5.0413652053e-04	-2.0730043928e-03	-1.5090385246e-02	4.1026634462e-03	3.8410401564e-04	2.5576914551e-04	-1.4269563880e-03	7.8708322681e-04	1.2066478507e-04	1.5827801972e-03	2.4952461500e-02	-8.0561129674e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.9644256724e-01	-8.5499784454e-01	1.7484561405e+01	-1.7326006128e+01	-9.1408086951e-01	-1.6387458687e+00	3.0466947722e+01	-2.7914120984e+01	0.0000000000e+00	-8.5499784454e-01	1.2405668596e+01	-1.1550670752e+01	4.9559721173e-04	-2.4185051249e-03	-1.7512887391e-02	4.7864406872e-03	3.7759787560e-04	2.9839733642e-04	-1.5942589766e-03	9.1826376461e-04	1.1862090644e-04	1.8465768968e-03	2.8856953160e-02	-9.3987984620e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.8464588539e-01	-9.7714039375e-01	2.0093644369e+01	-1.9801149860e+01	-8.9859772457e-01	-1.8728524214e+00	3.4673302699e+01	-3.1901852553e+01	0.0000000000e+00	-9.7714039375e-01	1.4177906967e+01	-1.3200766574e+01	4.8720254587e-04	-2.7640058570e-03	-1.9935534180e-02	5.4702179282e-03	3.7120193971e-04	3.4102552734e-04	-1.7616717695e-03	1.0494443024e-03	1.1661164801e-04	2.1103735963e-03	3.2761842128e-02	-1.0741483957e-02
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.7304902145e-01	-1.0992829430e+00	2.2702527514e+01	-2.2276293593e+01	-8.8337684065e-01	-2.1069589740e+00	3.8879919937e+01	-3.5889584122e+01	0.0000000000e+00	-1.0992829430e+00	1.5950145338e+01	-1.4850862395e+01	4.7895007294e-04	-3.1095065892e-03	-2.2358323161e-02	6.1539951693e-03	3.6491434129e-04	3.8365371826e-04	-1.9291928998e-03	1.1806248402e-03	1.1463642338e-04	2.3741702958e-03	3.6667121675e-02	-1.2084169451e-02
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.6164859081e-01	-1.2214254922e+00	2.5311214227e+01	-2.4751437325e+01	-8.6841377544e-01	-2.3410655267e+00	4.3086794993e+01	-3.9877315691e+01	0.0000000000e+00	-1.2214254922e+00	1.7722383709e+01	-1.6500958217e+01	4.7083738440e-04	-3.4550073213e-03	-2.4781251927e-02	6.8377724103e-03	3.5873324526e-04	4.2628190918e-04	-2.0968205325e-03	1.3118053780e-03	1.1269465606e-04	2.6379669954e-03	4.0572785186e-02	-1.3426854946e-02
