#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-03	-3.0953185454e+00	-7.4248563355e+00	-1.4480042842e+00	1.1968179165e+01	7.2688202920e-01	-8.4638391386e-01	-6.1767619962e-01	7.3717808427e-01	5.4094646440e-01	-5.1947115376e+00	-5.2740778311e-01	5.1811728564e+00	1.9712605554e-04	-1.3437350912e-04	1.9579950238e-04	-4.3671002208e-03	-1.7401142600e-03	5.8057982551e-03	-4.6679619979e-04	-2.2980353508e-05	2.2085745182e-03	-8.3745035436e-04	2.4855705983e-05	1.0658712372e-02
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-03	-4.2167038014e+00	-1.4849712671e+01	-1.2709764503e+00	2.0337392923e+01	2.2599418768e+00	-1.6927678277e+00	-5.4234597979e-01	-2.4828069253e-02	1.3202543656e+00	-1.0389423075e+01	-4.6297593959e-01	9.5321446493e+00	-3.9855255014e-05	-2.6874701825e-04	1.7229903777e-04	-8.2154950327e-03	-2.0406871479e-03	1.1611596510e-02	-4.1077106001e-04	8.2206326736e-04	2.4817577838e-03	-1.6749007087e-03	2.2001930590e-05	1.7531531442e-02
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2000000000e-02	-5.3259493755e+00	-2.2274569007e+01	-1.1156235150e+00	2.8716141897e+01	3.7951100461e+00	-2.5391517416e+00	-4.7621650676e-01	-7.7974179775e-01	2.1004602640e+00	-1.5584134613e+01	-4.0642723960e-01	1.3890101589e+01	-2.7711942817e-04	-4.0312052737e-04	1.5162259277e-04	-1.2069367298e-02	-2.3339596533e-03	1.7417394765e-02	-3.6147823899e-04	1.6692773216e-03	2.7435236632e-03	-2.5123510631e-03	1.9475005580e-05	2.4408818750e-02
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6000000000e-02	-6.4232587320e+00	-2.9450060637e+01	-9.7928773610e-01	3.6852607105e+01	5.3323586071e+00	-3.1076318370e+00	-4.1816234142e-01	-1.8065644288e+00	2.8815505849e+00	-2.0896393725e+01	-3.5679576447e-01	1.8371638904e+01	-5.1466792638e-04	-8.0837657587e-05	1.3343038378e-04	-1.5887674079e-02	-2.6200500969e-03	2.2729399476e-02	-3.1810772826e-04	2.3377115072e-03	2.9940622539e-03	-3.5484710066e-03	1.7237600076e-05	3.0945675479e-02
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-02	-7.5088321248e+00	-3.6440548294e+01	-8.5963773613e-01	4.4809018155e+01	6.8716598058e+00	-3.4699347565e+00	-3.6719591269e-01	-3.0345291366e+00	3.6635119151e+00	-2.6295861523e+01	-3.1323412310e-01	2.2945583731e+01	-7.5250196723e-04	5.8023912676e-04	1.1742356238e-04	-1.9680252244e-02	-2.8990750771e-03	2.7675058165e-02	-2.7994710231e-04	2.8744056003e-03	3.2335606985e-03	-4.7319841564e-03	1.5256633353e-05	3.7228840188e-02
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4000000000e-02	-8.5828666408e+00	-4.3407057623e+01	-7.5462836785e-01	5.2744552632e+01	8.4129860716e+00	-3.8055150934e+00	-3.2245060372e-01	-4.2850203745e+00	4.4463310024e+00	-3.1706632421e+01	-2.7499888636e-01	2.7535300305e+01	-9.9062253516e-04	1.2852269229e-03	1.0333927716e-04	-2.3472661855e-02	-3.1711494869e-03	3.2573234819e-02	-2.4636974699e-04	3.3966198524e-03	3.4622032239e-03	-5.9346009103e-03	1.3502792718e-05	4.3478203238e-02
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8000000000e-02	-9.6455562430e+00	-5.0350211090e+01	-6.6246552188e-01	6.0658232855e+01	9.9563100246e+00	-4.1150665527e+00	-2.8316591592e-01	-5.5580775560e+00	5.2299947559e+00	-3.7128412997e+01	-2.4143781391e-01	3.2139856055e+01	-1.2290303927e-03	2.0329858226e-03	9.0946332088e-05	-2.7264552683e-02	-3.4363865329e-03	3.7425162048e-02	-2.1682450998e-04	3.9049840133e-03	3.6801711786e-03	-7.1558253482e-03	1.1950105861e-05	4.9693316320e-02
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2000000000e-02	-1.0697091813e+01	-5.4436444315e+01	-5.8157526761e-01	6.5715111396e+01	1.1501604483e+01	-4.7588822525e+00	-2.4867445556e-01	-6.4940477745e+00	6.0144902451e+00	-3.9552835901e+01	-2.1197865272e-01	3.3750324309e+01	-1.4677260915e-03	1.6296164526e-03	8.0041369217e-05	-2.9078031702e-02	-3.6948977525e-03	4.1193553130e-02	-1.9082660113e-04	4.2823520223e-03	3.8876430710e-03	-7.3321174917e-03	1.0575561530e-05	5.3933176999e-02
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6000000000e-02	-1.1737661196e+01	-5.4436444315e+01	-5.1057679282e-01	6.6684682303e+01	1.3048842467e+01	-4.7588822525e+00	-2.1839051845e-01	-8.0715696958e+00	6.7998046997e+00	-3.9552835901e+01	-1.8611931352e-01	3.2939150515e+01	-1.7067099824e-03	1.6296164526e-03	7.0445512321e-05	-2.8797555957e-02	-3.9467930328e-03	4.1193553130e-02	-1.6794959153e-04	3.8956676040e-03	4.0847946071e-03	-7.3321174917e-03	9.3587731078e-06	5.4983690217e-02
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-02	-1.2767449237e+01	-5.4436444315e+01	-4.4825867397e-01	6.7652152226e+01	1.4597997208e+01	-4.7588822525e+00	-1.9180007631e-01	-9.6473148790e+00	7.5859255092e+00	-3.9552835901e+01	-1.6341925539e-01	3.2130329647e+01	-1.9459822259e-03	1.6296164526e-03	6.2001415771e-05	-2.8519293094e-02	-4.1921806282e-03	4.1193553130e-02	-1.4781837863e-04	3.5124643815e-03	4.2717987280e-03	-7.3321174917e-03	8.2816802668e-06	5.6029170386e-02
