#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	2.4489795918e+06	-1.4263719332e+06	-8.1506967609e+05	8.1632653061e-05	-2.3772865553e-04	-1.3584494601e-04	2.4489795918e+06	-1.4263719332e+06	-8.1506967609e+05	8.1632653061e-05	-2.3772865553e-04	-1.3584494601e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9211209561e+06	2.6843249113e+05	-5.5424373253e+05	1.5789473684e-04	7.2547625011e-05	-1.4979209969e-04	2.9211209561e+06	2.6843249113e+05	-5.5424373253e+05	1.5789473684e-04	7.2547625011e-05	-1.4979209969e-04	2.8907042253e+06	-3.1074136718e+05	-7.3129675151e+05	2.3076923077e-04	-1.2403473459e-04	-2.9190255325e-04	2.8907042253e+06	-3.1074136718e+05	-7.3129675151e+05	2.3076923077e-04	-1.2403473459e-04	-2.9190255325e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2	2.000000e-02	2.7621505297e+06	-1.6087737128e+06	-9.1929926448e+05	1.6326530612e-04	-4.7545731105e-04	-2.7168989203e-04	2.7621505297e+06	-1.6087737128e+06	-9.1929926448e+05	1.6326530612e-04	-4.7545731105e-04	-2.7168989203e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7707827060e+06	2.5461735934e+05	-5.2571905514e+05	3.1578947368e-04	1.4509525002e-04	-2.9958419938e-04	2.7707827060e+06	2.5461735934e+05	-5.2571905514e+05	3.1578947368e-04	1.4509525002e-04	-2.9958419938e-04	2.7658918861e+06	-2.9732444386e+05	-6.9972144974e+05	4.6153846154e-04	-2.4806946918e-04	-5.8380510649e-04	2.7658918861e+06	-2.9732444386e+05	-6.9972144974e+05	4.6153846154e-04	-2.4806946918e-04	-5.8380510649e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
3	3.000000e-02	2.7065620537e+06	-1.5763970274e+06	-9.0079830138e+05	2.4489795918e-04	-7.1318596658e-04	-4.0753483804e-04	2.7065620537e+06	-1.5763970274e+06	-9.0079830138e+05	2.4489795918e-04	-7.1318596658e-04	-4.0753483804e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6281817560e+06	2.4151323636e+05	-4.9866242723e+05	4.7368421053e-04	2.1764287503e-04	-4.4937629908e-04	2.6281817560e+06	2.4151323636e+05	-4.9866242723e+05	4.7368421053e-04	2.1764287503e-04	-4.4937629908e-04	2.6464685866e+06	-2.8448682491e+05	-6.6950947918e+05	6.9230769231e-04	-3.7210420377e-04	-8.7570765974e-04	2.6464685866e+06	-2.8448682491e+05	-6.6950947918e+05	6.9230769231e-04	-3.7210420377e-04	-8.7570765974e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
4	4.000000e-02	2.6520922999e+06	-1.5446719251e+06	-8.8266967148e+05	3.2653061224e-04	-9.5091462210e-04	-5.4337978406e-04	2.6520922999e+06	-1.5446719251e+06	-8.8266967148e+05	3.2653061224e-04	-9.5091462210e-04	-5.4337978406e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4929198986e+06	2.2908352945e+05	-4.7299829423e+05	6.3157894737e-04	2.9019050004e-04	-5.9916839877e-04	2.4929198986e+06	2.2908352945e+05	-4.7299829423e+05	6.3157894737e-04	2.9019050004e-04	-5.9916839877e-04	2.5322016436e+06	-2.7220349762e+05	-6.4060197508e+05	9.2307692308e-04	-4.9613893836e-04	-1.1676102130e-03	2.5322016436e+06	-2.7220349762e+05	-6.4060197508e+05	9.2307692308e-04	-4.9613893836e-04	-1.1676102130e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5	5.000000e-02	2.5987187537e+06	-1.5135852927e+06	-8.6490588155e+05	4.0816326531e-04	-1.1886432776e-03	-6.7922473007e-04	2.5987187537e+06	-1.5135852927e+06	-8.6490588155e+05	4.0816326531e-04	-1.1886432776e-03	-6.7922473007e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3646194205e+06	2.1729352915e+05	-4.4865499009e+05	7.8947368421e-04	3.6273812506e-04	-7.4896049846e-04	2.3646194205e+06	2.1729352915e+05	-4.4865499009e+05	7.8947368421e-04	3.6273812506e-04	-7.4896049846e-04	2.4228684203e+06	-2.6045052926e+05	-6.1294261432e+05	1.1538461538e-03	-6.2017367295e-04	-1.4595127662e-03	2.4228684203e+06	-2.6045052926e+05	-6.1294261432e+05	1.1538461538e-03	-6.2017367295e-04	-1.4595127662e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
6	6.000000e-02	2.5464193539e+06	-1.4831242810e+06	-8.4749958915e+05	4.8979591837e-04	-1.4263719332e-03	-8.1506967609e-04	2.5464193539e+06	-1.4831242810e+06	-8.4749958915e+05	4.8979591837e-04	-1.4263719332e-03	-8.1506967609e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2429220477e+06	2.0611031235e+05	-4.2556453710e+05	9.4736842105e-04	4.3528575007e-04	-8.9875259815e-04	2.2429220477e+06	2.0611031235e+05	-4.2556453710e+05	9.4736842105e-04	4.3528575007e-04	-8.9875259815e-04	2.3182558928e+06	-2.4920502046e+05	-5.8647750563e+05	1.3846153846e-03	-7.4420840754e-04	-1.7514153195e-03	2.3182558928e+06	-2.4920502046e+05	-5.8647750563e+05	1.3846153846e-03	-7.4420840754e-04	-1.7514153195e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
7	7.000000e-02	2.4951724832e+06	-1.4532762994e+06	-8.3044359963e+05	5.7142857143e-04	-1.6641005887e-03	-9.5091462210e-04	2.4951724832e+06	-1.4532762994e+06	-8.3044359963e+05	5.7142857143e-04	-1.6641005887e-03	-9.5091462210e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1274879452e+06	1.9550265038e+05	-4.0366245609e+05	1.1052631579e-03	5.0783337508e-04	-1.0485446978e-03	2.1274879452e+06	1.9550265038e+05	-4.0366245609e+05	1.1052631579e-03	5.0783337508e-04	-1.0485446978e-03	2.2181602350e+06	-2.3844506055e+05	-5.6115508463e+05	1.6153846154e-03	-8.6824314212e-04	-2.0433178727e-03	2.2181602350e+06	-2.3844506055e+05	-5.6115508463e+05	1.6153846154e-03	-8.6824314212e-04	-2.0433178727e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
8	8.000000e-02	2.4449569595e+06	-1.4240290104e+06	-8.1373086311e+05	6.5306122449e-04	-1.9018292442e-03	-1.0867595681e-03	2.4449569595e+06	-1.4240290104e+06	-8.1373086311e+05	6.5306122449e-04	-1.9018292442e-03	-1.0867595681e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0179947679e+06	1.8544092175e+05	-3.8288758637e+05	1.2631578947e-03	5.8038100009e-04	-1.1983367975e-03	2.0179947679e+06	1.8544092175e+05	-3.8288758637e+05	1.2631578947e-03	5.8038100009e-04	-1.1983367975e-03	2.1223864214e+06	-2.2814968494e+05	-5.3692601332e+05	1.8461538462e-03	-9.9227787671e-04	-2.3352204260e-03	2.1223864214e+06	-2.2814968494e+05	-5.3692601332e+05	1.8461538462e-03	-9.9227787671e-04	-2.3352204260e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9	9.000000e-02	2.3957520267e+06	-1.3953703253e+06	-7.9735447160e+05	7.3469387755e-04	-2.1395578997e-03	-1.2226045141e-03	2.3957520267e+06	-1.3953703253e+06	-7.9735447160e+05	7.3469387755e-04	-2.1395578997e-03	-1.2226045141e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9141367604e+06	1.7589702949e+05	-3.6318191496e+05	1.4210526316e-03	6.5292862510e-04	-1.3481288972e-03	1.9141367604e+06	1.7589702949e+05	-3.6318191496e+05	1.4210526316e-03	6.5292862510e-04	-1.3481288972e-03	2.0307478470e+06	-2.1829883420e+05	-5.1374308401e+05	2.0769230769e-03	-1.1163126113e-03	-2.6271229792e-03	2.0307478470e+06	-2.1829883420e+05	-5.1374308401e+05	2.0769230769e-03	-1.1163126113e-03	-2.6271229792e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
10	1.000000e-01	2.3475373467e+06	-1.3672883982e+06	-7.8130765613e+05	8.1632653061e-04	-2.3772865553e-03	-1.3584494601e-03	2.3475373467e+06	-1.3672883982e+06	-7.8130765613e+05	8.1632653061e-04	-2.3772865553e-03	-1.3584494601e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8156239034e+06	1.6684432267e+05	-3.4449041454e+05	1.5789473684e-03	7.2547625011e-04	-1.4979209969e-03	1.8156239034e+06	1.6684432267e+05	-3.4449041454e+05	1.5789473684e-03	7.2547625011e-04	-1.4979209969e-03	1.9430659642e+06	-2.0887331500e+05	-4.9156112727e+05	2.3076923077e-03	-1.2403473459e-03	-2.9190255325e-03	1.9430659642e+06	-2.0887331500e+05	-4.9156112727e+05	2.3076923077e-03	-1.2403473459e-03	-2.9190255325e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
