#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8774932204e+06	0.0000000000e+00	-1.1864208485e+06	1.9047619048e-04	0.0000000000e+00	-3.9267672625e-04	2.8774932204e+06	0.0000000000e+00	-1.1864208485e+06	1.9047619048e-04	0.0000000000e+00	-3.9267672625e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.2307692308e+06	0.0000000000e+00	-1.4595127662e+06	-3.0769230769e-04	0.0000000000e+00	-2.4325212771e-04	-9.2307692308e+06	0.0000000000e+00	-1.4595127662e+06	-3.0769230769e-04	0.0000000000e+00	-2.4325212771e-04	2.8764527720e+06	0.0000000000e+00	1.2203755565e+06	1.8181818182e-04	0.0000000000e+00	3.8569460792e-04	2.8764527720e+06	0.0000000000e+00	1.2203755565e+06	1.8181818182e-04	0.0000000000e+00	3.8569460792e-04
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7874060456e+06	0.0000000000e+00	-1.1492769548e+06	3.8095238095e-04	0.0000000000e+00	-7.8535345250e-04	2.7874060456e+06	0.0000000000e+00	-1.1492769548e+06	3.8095238095e-04	0.0000000000e+00	-7.8535345250e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.8461538462e+07	0.0000000000e+00	-2.9190255325e+06	-6.1538461538e-04	0.0000000000e+00	-4.8650425541e-04	-1.8461538462e+07	0.0000000000e+00	-2.9190255325e+06	-6.1538461538e-04	0.0000000000e+00	-4.8650425541e-04	2.7885914284e+06	0.0000000000e+00	1.1830991454e+06	3.6363636364e-04	0.0000000000e+00	7.7138921584e-04	2.7885914284e+06	0.0000000000e+00	1.1830991454e+06	3.6363636364e-04	0.0000000000e+00	7.7138921584e-04
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7001392769e+06	0.0000000000e+00	-1.1132959442e+06	5.7142857143e-04	0.0000000000e+00	-1.1780301787e-03	2.7001392769e+06	0.0000000000e+00	-1.1132959442e+06	5.7142857143e-04	0.0000000000e+00	-1.1780301787e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.7692307692e+07	0.0000000000e+00	-4.3785382987e+06	-9.2307692308e-04	0.0000000000e+00	-7.2975638312e-04	-2.7692307692e+07	0.0000000000e+00	-4.3785382987e+06	-9.2307692308e-04	0.0000000000e+00	-7.2975638312e-04	2.7034138123e+06	0.0000000000e+00	1.1469613434e+06	5.4545454545e-04	0.0000000000e+00	1.1570838238e-03	2.7034138123e+06	0.0000000000e+00	1.1469613434e+06	5.4545454545e-04	0.0000000000e+00	1.1570838238e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6156046142e+06	0.0000000000e+00	-1.0784414099e+06	7.6190476190e-04	0.0000000000e+00	-1.5707069050e-03	2.6156046142e+06	0.0000000000e+00	-1.0784414099e+06	7.6190476190e-04	0.0000000000e+00	-1.5707069050e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.6923076923e+07	0.0000000000e+00	-5.8380510649e+06	-1.2307692308e-03	0.0000000000e+00	-9.7300851082e-04	-3.6923076923e+07	0.0000000000e+00	-5.8380510649e+06	-1.2307692308e-03	0.0000000000e+00	-9.7300851082e-04	2.6208379494e+06	0.0000000000e+00	1.1119273718e+06	7.2727272727e-04	0.0000000000e+00	1.5427784317e-03	2.6208379494e+06	0.0000000000e+00	1.1119273718e+06	7.2727272727e-04	0.0000000000e+00	1.5427784317e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5337165220e+06	0.0000000000e+00	-1.0446780846e+06	9.5238095238e-04	0.0000000000e+00	-1.9633836312e-03	2.5337165220e+06	0.0000000000e+00	-1.0446780846e+06	9.5238095238e-04	0.0000000000e+00	-1.9633836312e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.6153846154e+07	0.0000000000e+00	-7.2975638312e+06	-1.5384615385e-03	0.0000000000e+00	-1.2162606385e-03	-4.6153846154e+07	0.0000000000e+00	-7.2975638312e+06	-1.5384615385e-03	0.0000000000e+00	-1.2162606385e-03	2.5407843688e+06	0.0000000000e+00	1.0779635140e+06	9.0909090909e-04	0.0000000000e+00	1.9284730396e-03	2.5407843688e+06	0.0000000000e+00	1.0779635140e+06	9.0909090909e-04	0.0000000000e+00	1.9284730396e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4543921429e+06	0.0000000000e+00	-1.0119718052e+06	1.1428571429e-03	0.0000000000e+00	-2.3560603575e-03	2.4543921429e+06	0.0000000000e+00	-1.0119718052e+06	1.1428571429e-03	0.0000000000e+00	-2.3560603575e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-5.5384615385e+07	0.0000000000e+00	-8.7570765974e+06	-1.8461538462e-03	0.0000000000e+00	-1.4595127662e-03	-5.5384615385e+07	0.0000000000e+00	-8.7570765974e+06	-1.8461538462e-03	0.0000000000e+00	-1.4595127662e-03	2.4631760275e+06	0.0000000000e+00	1.0450370834e+06	1.0909090909e-03	0.0000000000e+00	2.3141676475e-03	2.4631760275e+06	0.0000000000e+00	1.0450370834e+06	1.0909090909e-03	0.0000000000e+00	2.3141676475e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3775512134e+06	0.0000000000e+00	-9.8028947831e+05	1.3333333333e-03	0.0000000000e+00	-2.7487370837e-03	2.3775512134e+06	0.0000000000e+00	-9.8028947831e+05	1.3333333333e-03	0.0000000000e+00	-2.7487370837e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.4615384615e+07	0.0000000000e+00	-1.0216589364e+07	-2.1538461538e-03	0.0000000000e+00	-1.7027648939e-03	-6.4615384615e+07	0.0000000000e+00	-1.0216589364e+07	-2.1538461538e-03	0.0000000000e+00	-1.7027648939e-03	2.3879382355e+06	0.0000000000e+00	1.0131163916e+06	1.2727272727e-03	0.0000000000e+00	2.6998622554e-03	2.3879382355e+06	0.0000000000e+00	1.0131163916e+06	1.2727272727e-03	0.0000000000e+00	2.6998622554e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3031159827e+06	0.0000000000e+00	-9.4959904648e+05	1.5238095238e-03	0.0000000000e+00	-3.1414138100e-03	2.3031159827e+06	0.0000000000e+00	-9.4959904648e+05	1.5238095238e-03	0.0000000000e+00	-3.1414138100e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.3846153846e+07	0.0000000000e+00	-1.1676102130e+07	-2.4615384615e-03	0.0000000000e+00	-1.9460170216e-03	-7.3846153846e+07	0.0000000000e+00	-1.1676102130e+07	-2.4615384615e-03	0.0000000000e+00	-1.9460170216e-03	2.3149985843e+06	0.0000000000e+00	9.8217071842e+05	1.4545454545e-03	0.0000000000e+00	3.0855568634e-03	2.3149985843e+06	0.0000000000e+00	9.8217071842e+05	1.4545454545e-03	0.0000000000e+00	3.0855568634e-03
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2310111345e+06	0.0000000000e+00	-9.1986945594e+05	1.7142857143e-03	0.0000000000e+00	-3.5340905362e-03	2.2310111345e+06	0.0000000000e+00	-9.1986945594e+05	1.7142857143e-03	0.0000000000e+00	-3.5340905362e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.3076923077e+07	0.0000000000e+00	-1.3135614896e+07	-2.7692307692e-03	0.0000000000e+00	-2.1892691493e-03	-8.3076923077e+07	0.0000000000e+00	-1.3135614896e+07	-2.7692307692e-03	0.0000000000e+00	-2.1892691493e-03	2.2442868771e+06	0.0000000000e+00	9.5217028183e+05	1.6363636364e-03	0.0000000000e+00	3.4712514713e-03	2.2442868771e+06	0.0000000000e+00	9.5217028183e+05	1.6363636364e-03	0.0000000000e+00	3.4712514713e-03
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1611637102e+06	0.0000000000e+00	-8.9107062513e+05	1.9047619048e-03	0.0000000000e+00	-3.9267672625e-03	2.1611637102e+06	0.0000000000e+00	-8.9107062513e+05	1.9047619048e-03	0.0000000000e+00	-3.9267672625e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.2307692308e+07	0.0000000000e+00	-1.4595127662e+07	-3.0769230769e-03	0.0000000000e+00	-2.4325212771e-03	-9.2307692308e+07	0.0000000000e+00	-1.4595127662e+07	-3.0769230769e-03	0.0000000000e+00	-2.4325212771e-03	2.1757350613e+06	0.0000000000e+00	9.2308620955e+05	1.8181818182e-03	0.0000000000e+00	3.8569460792e-03	2.1757350613e+06	0.0000000000e+00	9.2308620955e+05	1.8181818182e-03	0.0000000000e+00	3.8569460792e-03
