#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
55	2.200000e-03	1.000000e+00	0.000000e+00	1.063160e-15	6.691441e-09	1.000000e+00	3.739306e+01
56	2.240000e-03	1.000000e+00	0.000000e+00	1.066451e-15	4.399439e-09	1.000000e+00	3.794230e+01
57	2.280000e-03	1.000000e+00	0.000000e+00	1.074971e-15	1.853672e-09	1.000000e+00	3.848787e+01
58	2.320000e-03	1.000000e+00	0.000000e+00	1.101764e-15	3.541206e-09	1.000000e+00	3.903850e+01
59	2.360000e-03	1.000000e+00	0.000000e+00	1.065438e-15	2.669359e-09	1.000000e+00	3.958943e+01
60	2.400000e-03	1.000000e+00	0.000000e+00	1.054809e-15	1.983051e-09	1.000000e+00	4.014060e+01
61	2.440000e-03	1.000000e+00	0.000000e+00	1.056408e-15	2.168621e-09	1.000000e+00	4.069135e+01
62	2.480000e-03	1.000000e+00	0.000000e+00	1.038134e-15	5.129648e-09	1.000000e+00	4.124545e+01
63	2.520000e-03	1.000000e+00	0.000000e+00	1.066193e-15	3.562949e-09	1.000000e+00	4.180026e+01
64	2.560000e-03	1.000000e+00	0.000000e+00	1.004114e-15	3.368369e-09	1.000000e+00	4.235422e+01
65	2.600000e-03	1.000000e+00	0.000000e+00	1.025455e-15	2.141851e-09	1.000000e+00	4.290804e+01
66	2.640000e-03	1.000000e+00	0.000000e+00	1.015598e-15	5.372057e-09	1.000000e+00	4.346562e+01
67	2.680000e-03	1.000000e+00	0.000000e+00	1.043702e-15	5.915895e-09	1.000000e+00	4.402309e+01
68	2.720000e-03	1.000000e+00	0.000000e+00	1.027278e-15	6.107908e-09	1.000000e+00	4.457896e+01
69	2.760000e-03	1.000000e+00	0.000000e+00	1.061212e-15	7.630546e-09	1.000000e+00	4.513618e+01
70	2.800000e-03	1.000000e+00	0.000000e+00	1.047269e-15	7.911593e-09	1.000000e+00	4.569678e+01
71	2.840000e-03	1.000000e+00	0.000000e+00	1.064318e-15	5.598514e-09	1.000000e+00	4.625744e+01
72	2.880000e-03	1.000000e+00	0.000000e+00	1.094643e-15	6.029260e-09	1.000000e+00	4.681538e+01
73	2.920000e-03	1.000000e+00	0.000000e+00	1.078387e-15	5.032535e-09	1.000000e+00	4.737048e+01
74	2.960000e-03	1.000000e+00	0.000000e+00	1.057816e-15	4.798224e-09	1.000000e+00	4.792950e+01
75	3.000000e-03	1.000000e+00	0.000000e+00	1.040755e-15	3.733035e-09	1.000000e+00	4.849037e+01
76	3.040000e-03	1.000000e+00	0.000000e+00	1.086130e-15	5.380191e-09	1.000000e+00	4.905003e+01
77	3.080000e-03	1.000000e+00	0.000000e+00	1.096727e-15	5.188816e-09	1.000000e+00	4.961125e+01
78	3.120000e-03	1.000000e+00	0.000000e+00	1.096001e-15	4.565899e-09	1.000000e+00	5.017246e+01
79	3.160000e-03	1.000000e+00	0.000000e+00	1.042748e-15	5.794219e-09	1.000000e+00	5.073398e+01
80	3.200000e-03	1.000000e+00	0.000000e+00	1.069188e-15	3.716248e-09	1.000000e+00	5.129279e+01
81	3.240000e-03	1.000000e+00	0.000000e+00	1.099497e-15	2.859600e-09	1.000000e+00	5.185162e+01
82	3.280000e-03	1.000000e+00	0.000000e+00	1.075663e-15	4.701272e-09	1.000000e+00	5.241487e+01
