// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
1707 2114 1210 1743
112 115 199 953
1417 1796 2257 1283
160 5 1213 1710
585 519 1276 1625
1195 1509 1172 1431
146 145 1222 1647
1394 2250 1759 1994
2166 2171 2013 2172
1385 800 1863 2138
805 49 171 2137
612 1363 1263 1479
616 617 652 2234
985 706 705 1789
509 635 986 1244
2074 0 1754 1253
95 219 2147 1673
968 1859 1855 1852
1281 1535 1777 1100
1788 1538 1977 2011
992 1632 1255 1316
1729 1559 1408 2237
1814 1233 1733 1390
584 1222 1373 2152
1199 1151 1805 1588
1223 1306 1549 1583
1231 851 2093 2017
1542 1394 1759 1754
1325 1986 1079 2021
643 646 1194 1083
946 943 2116 1435
1839 1225 1921 1586
118 82 1490 2229
2017 1434 1394 1927
636 952 1417 1853
659 625 2220 1709
120 1077 1496 1568
183 218 182 1808
967 988 1109 1615
1653 1440 1962 1594
114 112 611 554
59 199 953 892
1637 1434 1497 1215
803 684 685 1664
221 166 2063 1879
982 55 169 1034
952 901 555 554
1546 1323 1922 1713
973 689 1513 1234
244 243 242 678
2166 2129 1147 1185
1672 1341 2201 1468
630 533 1392 1564
19 218 2154 1110
1729 1418 2008 1404
826 770 1175 1310
1982 1475 1322 2092
938 804 686 1236
2172 1385 2002 1120
1108 1798 1848 1156
1497 190 1542 1557
44 227 1063 1536
277 375 1313 1164
112 113 901 554
717 861 1687 1866
1129 1764 1579 1750
68 595 6 157
342 408 808 2003
218 183 1607 1808
1907 1530 1570 1874
27 1981 1983 1816
1065 1375 1411 2092
1593 1693 1505 1086
1918 1587 1966 1101
1556 2257 2256 1171
1651 1128 2149 1211
1483 1469 1376 2045
1703 82 2224 2229
723 794 1602 1508
2189 1289 1276 1757
0 1 2074 1754
957 877 2037 1634
1122 1566 1922 2085
1719 1223 2122 1082
1774 2246 1840 2100
938 804 710 686
115 112 901 953
402 291 292 1641
683 24 25 26
222 187 1981 1983
1310 700 2137 1827
1970 697 1246 2044
1608 192 1521 1098
779 140 1220 1721
1573 2069 1187 2020
1563 2024 1676 2136
1239 1791 2032 2018
580 311 381 1456
87 3 1714 1409
1196 1770 2196 1508
1086 1473 1611 1909
634 1574 2152 1287
880 957 1966 1406
1794 2243 1413 1493
93 1681 1762 1525
142 10 2204 1948
1102 1687 1669 1970
887 949 63 201
1732 1913 1119 2236
2171 1613 2013 2172
754 951 753 900
1115 1690 1614 2075
1591 2220 1709 1062
983 507 506 1427
1687 2166 1120 1185
51 49 700 2137
802 1033 687 1513
1398 1521 1659 1420
522 312 1456 1908
375 378 1313 1164
1102 2107 1361 1975
930 929 941 1880
938 962 918 1236
1058 999 1250 1193
84 99 2132 1407
1628 1826 1957 2141
913 914 1144 2077
484 16 1813 1730
23 164 799 1936
1407 2132 1383 1154
1503 1746 2125 1399
248 817 680 2150
2143 735 2245 1742
78 150 235 1932
1213 1356 2185 1120
1270 2011 1342 1507
879 938 686 1236
1591 1743 1582 1976
545 640 639 2079
166 32 1031 1879
349 807 407 2004
1222 1574 2113 2152
105 1442 1557 1704
1021 2063 1366 1532
619 495 618 1808
1784 1144 1346 1880
1231 1434 2017 1785
1280 1670 1432 1070
1146 1358 1526 2199
666 667 547 2110
667 2110 1640 1228
2085 275 1954 1699
2209 458 1365 1877
1044 200 53 106
975 1423 2063 1879
1733 1694 1495 1145
1235 1569 1776 1479
1560 1435 1633 1070
782 781 1160 1831
987 1031 1532 1940
172 610 33 1568
1659 1608 1554 1420
443 363 2209 1919
1878 761 2136 1789
1660 2101 1643 1904
1544 1335 1226 2089
1693 134 1816 1593
1207 1077 2078 1568
1546 2214 1148 2186
101 120 1496 1739
655 620 621 1813
702 980 835 701
560 562 1364 1244
1032 265 404 285
748 728 731 2069
2189 1289 1238 1276
2078 1364 1124 1244
1043 993 997 1121
217 180 16 1813
1269 1289 1239 1625
208 131 210 1981
2012 1698 1980 2155
618 36 20 182
1561 1333 1128 2056
1189 1477 1958 1932
1679 1269 1791 1239
1339 1282 1296 1084
483 596 1137 1888
1596 1473 1611 1149
70 69 520 1373
2046 2018 1943 1093
244 306 796 396
1005 1014 1004 2111
916 877 957 2256
1426 2230 1225 1377
226 80 1509 1802
1569 1776 1068 1092
728 748 867 2069
1259 675 1377 1873
1541 2126 1855 1433
915 1144 1062 1784
595 587 1133 2103
814 813 1434 1497
1816 1593 1409 1473
527 558 1142 2105
719 718 720 1686
1335 2187 1748 1763
1423 1334 1851 1391
1211 1218 1171 1101
1773 2052 1487 1508
144 1282 1296 1373
956 924 1579 1973
506 1035 605 493
731 738 1992 1801
2078 626 1091 1364
838 837 1245 2232
1297 1379 1675 2108
633 595 587 1679
971 975 1423 2063
40 39 41 1115
362 360 363 1291
982 54 1442 1106
516 638 515 1965
1271 1495 2160 2051
1003 1541 1856 1924
23 682 21 1936
1545 844 1925 1619
1485 1397 1788 1252
1153 2135 1119 1595
1032 404 981 285
518 502 1841 2167
1818 1312 1946 1756
2135 2126 1732 1119
688 1513 1234 1545
868 693 1274 1573
267 266 268 690
1194 1261 1830 1897
2111 1705 1214 1183
758 2064 1200 1462
2240 1454 1886 1247
273 1323 2085 1429
524 642 663 1735
405 280 609 1595
1074 1095 1630 1312
807 268 407 1911
801 704 1028 689
1367 1089 1554 2047
88 1 1756 2074
1022 979 1056 1403
131 1981 1551 1101
1397 1252 1947 1977
1939 2216 2218 1245
2202 1227 1255 2180
1859 1855 1852 1433
476 1988 2151 1437
920 919 1616 1113
404 286 981 285
1136 1191 1861 1075
721 795 1769 2193
974 263 264 1894
1891 1447 1164 1767
1454 1971 2044 1361
1321 1665 1694 1517
1694 1814 1495 1096
152 1674 1646 2225
1033 802 687 703
1834 1398 2178 1196
789 810 2014 1428
2126 1291 1068 1433
2078 561 1568 1091
369 459 402 1641
2132 1521 1420 1836
876 882 1393 2060
999 1032 1058 1894
1099 1422 2175 1559
736 1719 1771 1549
732 870 783 1601
601 19 163 1110
619 505 1561 1808
1444 1677 1498 2000
1676 2111 1214 1183
1490 1899 2229 1321
1722 1325 2021 1882
1266 1896 1489 1198
1401 1231 1960 1457
741 783 1388 1130
778 860 777 2231
1031 166 2063 1940
684 685 879 686
278 448 2028 1777
1603 1780 1657 1261
2171 2000 2172 1185
343 342 344 751
1830 1261 1180 1897
555 952 554 636
601 584 1222 1373
1240 1697 1661 1175
1609 2029 1202 1116
1475 1375 1982 1411
860 735 777 1742
2244 872 1136 1589
278 276 1777 1872
251 252 681 2119
1168 1747 1235 1251
1361 1242 1134 2239
683 1967 1385 1863
1680 1530 1374 1907
1727 1439 1692 1483
1967 850 1385 1866
177 191 50 1827
1806 2240 1420 1766
192 2204 1220 1721
1435 895 1633 2123
1983 964 1693 1086
1234 1883 1685 1705
226 214 1802 1910
1170 1703 2156 1773
1333 1651 1128 2149
2141 1371 2222 1869
38 173 37 1914
1076 1562 2106 1564
2176 1681 1089 1762
422 371 444 1425
952 912 1417 1796
1912 1978 1349 1173
1376 1786 2045 2221
2061 1250 2090 1320
843 842 1605 1444
302 447 1867 2142
1762 1089 2047 1407
554 112 1914 1417
833 751 2003 2053
32 975 1031 1879
874 872 2244 1589
1942 1108 1122 1711
613 649 1363 1782
1366 1020 1532 1868
179 1637 1497 1215
2070 1277 1611 1149
20 19 18 485
1867 277 1164 1893
827 733 734 2071
1540 1591 1062 1162
1650 394 2023 1500
2182 1229 1667 1381
442 1368 1550 1535
580 381 1928 1456
596 482 1137 1888
1938 1342 2167 1990
952 901 554 1417
113 115 112 901
427 246 1933 1870
85 40 41 1115
606 935 1853 2077
