#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
55	1.100000e-03	1.000000e+00	0.000000e+00	1.065894e-15	1.483189e-09	1.000000e+00	4.671771e+01
56	1.120000e-03	1.000000e+00	0.000000e+00	1.050477e-15	2.861178e-09	1.000000e+00	4.730439e+01
57	1.140000e-03	1.000000e+00	0.000000e+00	1.087362e-15	4.902194e-09	1.000000e+00	4.788822e+01
58	1.160000e-03	1.000000e+00	0.000000e+00	1.076168e-15	8.408034e-09	1.000000e+00	4.847431e+01
59	1.180000e-03	1.000000e+00	0.000000e+00	1.087880e-15	7.526468e-09	1.000000e+00	4.906376e+01
60	1.200000e-03	1.000000e+00	0.000000e+00	1.055110e-15	6.736485e-09	1.000000e+00	4.965409e+01
61	1.220000e-03	1.000000e+00	0.000000e+00	1.009264e-15	5.204888e-09	1.000000e+00	5.024183e+01
62	1.240000e-03	1.000000e+00	0.000000e+00	1.025647e-15	5.477034e-09	1.000000e+00	5.083149e+01
63	1.260000e-03	1.000000e+00	0.000000e+00	1.060876e-15	7.563231e-09	1.000000e+00	5.142022e+01
64	1.280000e-03	1.000000e+00	0.000000e+00	1.033860e-15	3.819209e-09	1.000000e+00	5.201116e+01
65	1.300000e-03	1.000000e+00	0.000000e+00	1.075464e-15	4.762755e-09	1.000000e+00	5.259905e+01
66	1.320000e-03	1.000000e+00	0.000000e+00	1.051192e-15	6.811843e-09	1.000000e+00	5.318895e+01
67	1.340000e-03	1.000000e+00	0.000000e+00	1.078642e-15	8.683313e-09	1.000000e+00	5.378267e+01
68	1.360000e-03	1.000000e+00	0.000000e+00	1.147666e-15	5.423692e-09	1.000000e+00	5.437436e+01
69	1.380000e-03	1.000000e+00	0.000000e+00	1.087811e-15	1.511978e-09	1.000000e+00	5.496794e+01
70	1.400000e-03	1.000000e+00	0.000000e+00	1.083422e-15	4.584429e-10	1.000000e+00	5.555940e+01
71	1.420000e-03	1.000000e+00	0.000000e+00	1.084358e-15	5.176051e-09	1.000000e+00	5.615344e+01
72	1.440000e-03	1.000000e+00	0.000000e+00	1.082512e-15	5.278148e-09	1.000000e+00	5.674559e+01
73	1.460000e-03	1.000000e+00	0.000000e+00	1.112284e-15	1.798888e-09	1.000000e+00	5.733894e+01
74	1.480000e-03	1.000000e+00	0.000000e+00	1.072620e-15	2.512091e-09	1.000000e+00	5.793102e+01
75	1.500000e-03	1.000000e+00	0.000000e+00	1.060736e-15	4.739243e-09	1.000000e+00	5.852645e+01
76	1.520000e-03	1.000000e+00	0.000000e+00	1.089558e-15	2.377641e-09	1.000000e+00	5.912066e+01
77	1.540000e-03	1.000000e+00	0.000000e+00	1.048716e-15	2.107467e-09	1.000000e+00	5.971388e+01
78	1.560000e-03	1.000000e+00	0.000000e+00	1.063686e-15	1.678534e-09	1.000000e+00	6.030777e+01
79	1.580000e-03	1.000000e+00	0.000000e+00	1.048067e-15	4.460492e-09	1.000000e+00	6.090286e+01
80	1.600000e-03	1.000000e+00	0.000000e+00	1.080008e-15	5.081118e-09	1.000000e+00	6.150100e+01
81	1.620000e-03	1.000000e+00	0.000000e+00	1.035409e-15	5.944386e-09	1.000000e+00	6.209641e+01
82	1.640000e-03	1.000000e+00	0.000000e+00	1.051650e-15	1.248194e-09	1.000000e+00	6.269317e+01
83	1.660000e-03	1.000000e+00	0.000000e+00	1.028375e-15	1.223866e-09	1.000000e+00	6.329166e+01
84	1.680000e-03	1.000000e+00	0.000000e+00	1.041664e-15	5.039021e-09	1.000000e+00	6.388920e+01
85	1.700000e-03	1.000000e+00	0.000000e+00	1.057501e-15	6.146483e-09	1.000000e+00	6.448574e+01
86	1.720000e-03	1.000000e+00	0.000000e+00	9.887522e-16	5.552355e-09	1.000000e+00	6.508329e+01
87	1.740000e-03	1.000000e+00	0.000000e+00	1.024938e-15	3.317844e-09	1.000000e+00	6.568204e+01
88	1.760000e-03	1.000000e+00	0.000000e+00	1.049306e-15	4.110578e-09	1.000000e+00	6.628070e+01
89	1.780000e-03	1.000000e+00	0.000000e+00	1.036444e-15	3.323512e-09	1.000000e+00	6.687965e+01
90	1.800000e-03	1.000000e+00	0.000000e+00	1.031415e-15	3.866821e-09	1.000000e+00	6.747891e+01
91	1.820000e-03	1.000000e+00	0.000000e+00	1.050995e-15	6.528049e-09	1.000000e+00	6.807847e+01
92	1.840000e-03	1.000000e+00	0.000000e+00	1.044330e-15	5.789964e-09	1.000000e+00	6.867946e+01
