#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
1	2.000000e-05	-2.500000e-09	-2.341982e+01	3.753193e-01	8.077290e-09	1.651648e-08	1.531713e-08
2	4.000000e-05	-5.000000e-09	-1.410265e+00	3.480981e+00	1.690029e-08	5.912456e-08	2.811579e-08
3	6.000000e-05	-7.500000e-09	-2.034794e+01	1.338819e+01	3.477429e-08	7.669094e-08	3.220509e-08
4	8.000000e-05	-1.000000e-08	-7.716479e+00	2.710653e+01	7.494407e-08	1.177862e-07	1.643461e-08
5	1.000000e-04	-1.250000e-08	-2.469559e+01	3.073922e+01	1.193298e-07	1.499035e-07	1.056786e-08
6	1.200000e-04	-2.000000e-08	-7.243919e+01	2.353246e+01	3.356749e-07	4.330594e-07	1.002412e-07
7	1.400000e-04	-2.750000e-08	-4.597016e+01	3.117354e+01	6.449444e-07	9.201489e-07	1.866430e-07
8	1.600000e-04	-3.500000e-08	-8.133933e+01	6.530107e+01	9.860541e-07	1.341285e-06	2.794383e-07
9	1.800000e-04	-4.250000e-08	-5.538458e+01	1.009210e+02	1.530553e-06	1.893658e-06	1.781209e-07
10	2.000000e-04	-5.000000e-08	-8.598517e+01	1.125031e+02	2.139776e-06	2.376842e-06	7.964670e-08
11	2.200000e-04	-6.250000e-08	-1.507345e+02	1.024629e+02	3.341470e-06	3.672052e-06	2.005266e-07
12	2.400000e-04	-7.500000e-08	-1.522529e+02	1.075423e+02	4.965404e-06	5.561746e-06	3.674250e-07
13	2.600000e-04	-8.750000e-08	-1.898976e+02	1.568409e+02	6.657801e-06	7.598067e-06	7.149468e-07
14	2.800000e-04	-1.000000e-07	-1.586987e+02	2.148092e+02	8.796583e-06	9.859384e-06	5.919022e-07
15	3.000000e-04	-1.125000e-07	-1.904214e+02	2.407544e+02	1.127550e-05	1.195822e-05	2.354717e-07
16	3.200000e-04	-1.300000e-07	-2.733255e+02	2.405359e+02	1.496177e-05	1.568970e-05	3.552619e-07
17	3.400000e-04	-1.475000e-07	-2.962784e+02	2.393624e+02	1.954873e-05	2.058274e-05	5.403112e-07
18	3.600000e-04	-1.650000e-07	-3.494832e+02	2.850407e+02	2.443566e-05	2.603151e-05	1.159880e-06
19	3.800000e-04	-1.825000e-07	-3.186908e+02	3.697845e+02	2.992487e-05	3.199046e-05	1.234401e-06
20	4.000000e-04	-2.000000e-07	-3.486536e+02	4.180848e+02	3.625370e-05	3.772155e-05	6.084509e-07
21	4.200000e-04	-2.225000e-07	-4.351884e+02	4.244494e+02	4.474751e-05	4.610051e-05	6.057243e-07
22	4.400000e-04	-2.450000e-07	-4.781425e+02	4.275496e+02	5.456987e-05	5.615984e-05	7.150344e-07
23	4.600000e-04	-2.675000e-07	-5.559178e+02	4.677761e+02	6.522647e-05	6.740975e-05	1.479434e-06
24	4.800000e-04	-2.900000e-07	-5.356700e+02	5.615704e+02	7.662484e-05	7.978293e-05	1.980746e-06
25	5.000000e-04	-3.125000e-07	-5.572056e+02	6.343201e+02	8.938194e-05	9.197998e-05	1.259880e-06
26	5.200000e-04	-3.400000e-07	-6.453519e+02	6.569293e+02	1.058133e-04	1.079693e-04	9.744638e-07
27	5.400000e-04	-3.675000e-07	-7.032599e+02	6.709241e+02	1.238695e-04	1.261570e-04	9.941794e-07
28	5.600000e-04	-3.950000e-07	-8.006032e+02	7.061437e+02	1.434810e-04	1.462477e-04	1.742806e-06
29	5.800000e-04	-4.225000e-07	-7.987568e+02	7.957592e+02	1.641754e-04	1.682394e-04	2.581423e-06
30	6.000000e-04	-4.500000e-07	-8.263333e+02	8.897173e+02	1.866222e-04	1.904284e-04	2.094594e-06
31	6.200000e-04	-4.825000e-07	-9.075306e+02	9.354748e+02	2.147752e-04	2.180083e-04	1.631659e-06
32	6.400000e-04	-5.150000e-07	-9.697444e+02	9.617223e+02	2.449000e-04	2.480630e-04	1.446945e-06
33	6.600000e-04	-5.475000e-07	-1.084900e+03	9.988934e+02	2.772492e-04	2.806278e-04	2.031465e-06
34	6.800000e-04	-5.800000e-07	-1.106035e+03	1.085729e+03	3.113413e-04	3.160653e-04	2.992181e-06
