#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.6444861836e-01	4.3399114679e-01	-1.3477126420e-01	-1.3477126423e-01	0.0000000000e+00	-1.5562045134e-01	1.1671533850e-01	3.8905112840e-02	0.0000000000e+00	-1.1004027645e-01	0.0000000000e+00	1.1004027645e-01	0.0000000000e+00	-3.4921336707e-15	-1.3235788171e-05	1.3235788174e-05	-1.8648852032e-05	3.0875549415e-05	-1.5283371727e-05	5.8076812568e-05	2.6373459465e-05	-4.3664620733e-05	-5.6196274088e-05	-4.3227903128e-06
2	2.000000e-02	0.0000000000e+00	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.5175644282e-01	4.1158624207e-01	-1.2991489961e-01	-1.2991489964e-01	0.0000000000e+00	-1.5001280453e-01	1.1250960340e-01	3.7503201138e-02	0.0000000000e+00	-1.0607507137e-01	0.0000000000e+00	1.0607507137e-01	0.0000000000e+00	-3.3684971418e-15	-1.2758848125e-05	1.2758848128e-05	-1.7209530097e-05	2.8995649138e-05	-1.4732648799e-05	5.5984065441e-05	2.4337950864e-05	-4.1006040265e-05	-5.4171290520e-05	-4.1670223460e-06
3	3.000000e-02	0.0000000000e+00	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.4004385180e-01	3.9051091157e-01	-1.2523352987e-01	-1.2523352990e-01	0.0000000000e+00	-1.4460722437e-01	1.0845541828e-01	3.6151806098e-02	0.0000000000e+00	-1.0225274898e-01	0.0000000000e+00	1.0225274898e-01	0.0000000000e+00	-3.2492389262e-15	-1.2299094196e-05	1.2299094199e-05	-1.5881295302e-05	2.7242711855e-05	-1.4201770689e-05	5.3966728626e-05	2.2459543204e-05	-3.8527012586e-05	-5.2219275462e-05	-4.0168673417e-06
4	4.000000e-02	0.0000000000e+00	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2923524077e-01	3.7067693919e-01	-1.2072084920e-01	-1.2072084922e-01	0.0000000000e+00	-1.3939642957e-01	1.0454732217e-01	3.4849107396e-02	0.0000000000e+00	-9.8568160635e-02	0.0000000000e+00	9.8568160635e-02	0.0000000000e+00	-3.1342046522e-15	-1.1855907097e-05	1.1855907100e-05	-1.4655573921e-05	2.5607591769e-05	-1.3690022308e-05	5.2022084778e-05	2.0726111402e-05	-3.6214603584e-05	-5.0337599560e-05	-3.8721230416e-06
5	5.000000e-02	0.0000000000e+00	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1926084040e-01	3.5200239846e-01	-1.1637077902e-01	-1.1637077904e-01	0.0000000000e+00	-1.3437340119e-01	1.0078005089e-01	3.3593350302e-02	0.0000000000e+00	-9.5016343208e-02	0.0000000000e+00	9.5016343208e-02	0.0000000000e+00	-3.0232227956e-15	-1.1428689858e-05	1.1428689861e-05	-1.3524453948e-05	2.4081825415e-05	-1.3196714332e-05	5.0147514469e-05	1.9126466196e-05	-3.4056844113e-05	-4.8523728202e-05	-3.7325944756e-06
6	6.000000e-02	0.0000000000e+00	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1005626613e-01	3.3441118578e-01	-1.1217745981e-01	-1.1217745984e-01	0.0000000000e+00	-1.2953137325e-01	9.7148529931e-02	3.2382843316e-02	0.0000000000e+00	-9.1592512414e-02	0.0000000000e+00	9.1592512414e-02	0.0000000000e+00	-2.9161891712e-15	-1.1016867019e-05	1.1016867022e-05	-1.2480634029e-05	2.2657579852e-05	-1.2721182278e-05	4.8340492661e-05	1.7650281910e-05	-3.2042656722e-05	-4.6775218112e-05	-3.5980936995e-06
7	7.000000e-02	0.0000000000e+00	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0156210265e-01	3.1783258907e-01	-1.0813524320e-01	-1.0813524322e-01	0.0000000000e+00	-1.2486382354e-01	9.3647867655e-02	3.1215955890e-02	0.0000000000e+00	-8.8292056367e-02	0.0000000000e+00	8.8292056367e-02	0.0000000000e+00	-2.8129316198e-15	-1.0619883855e-05	1.0619883858e-05	-1.1517376329e-05	2.1327604814e-05	-1.2262785605e-05	4.6598585303e-05	1.6288029806e-05	-3.0161787985e-05	-4.5089714053e-05	-3.4684395412e-06
8	8.000000e-02	0.0000000000e+00	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.3723520318e-02	3.0220088898e-01	-1.0423868432e-01	-1.0423868434e-01	0.0000000000e+00	-1.2036446491e-01	9.0273348680e-02	3.0091116232e-02	0.0000000000e+00	-8.5110529366e-02	0.0000000000e+00	8.5110529366e-02	0.0000000000e+00	-2.7133408740e-15	-1.0237205632e-05	1.0237205635e-05	-1.0628463041e-05	2.0085188526e-05	-1.1820906855e-05	4.4919446053e-05	1.5030916579e-05	-2.8404746020e-05	-4.3464945658e-05	-3.3434573570e-06
9	9.000000e-02	0.0000000000e+00	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.6489921255e-02	2.8745499034e-01	-1.0048253454e-01	-1.0048253455e-01	0.0000000000e+00	-1.1602723673e-01	8.7020427544e-02	2.9006809186e-02	0.0000000000e+00	-8.2043645907e-02	0.0000000000e+00	8.2043645907e-02	0.0000000000e+00	-2.6172663737e-15	-9.8683168838e-06	9.8683168864e-06	-9.8081562487e-06	1.8924116905e-05	-1.1394950819e-05	4.3300813116e-05	1.3870827588e-05	-2.6762742787e-05	-4.1898724370e-05	-3.2229787964e-06
10	1.000000e-01	0.0000000000e+00	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.9814612739e-02	2.7353808140e-01	-9.6861734319e-02	-9.6861734338e-02	0.0000000000e+00	-1.1184629677e-01	8.3884722575e-02	2.7961574197e-02	0.0000000000e+00	-7.9087274910e-02	0.0000000000e+00	7.9087274910e-02	0.0000000000e+00	-2.5245988517e-15	-9.5127207191e-06	9.5127207216e-06	-9.0511608904e-06	1.7838635880e-05	-1.0984343736e-05	4.1740506201e-05	1.2800274486e-05	-2.5227640800e-05	-4.0388940496e-05	-3.1068415754e-06
