Time [s],u [mm],Stress [MPa],Kinetic Energy [mJ],Energy Balance Error [%],Number of Iterations
0.00099999993108,0.0005052734632,0.127395772296667,0.00035345079959,2.03245478749529,1
0.0019999998622,0.0015003295848,0.4360913086,0.00035300079617,1.0072435827502,1
0.0029999997932,0.002500020666,0.758858479833333,0.00035290941014,0.233038794345688,1
0.0039999997243,0.0035000012722,1.08196769206667,0.00035284628393,0.0310401858855131,1
0.0049999998882,0.0045000002719,1.407191569,0.00035315850982,0.00986976183045251,2
0.0059999995865,0.0054999999702,1.728941569,0.00035406503594,0.00997027314943403,2
0.0069999997504,0.0065000001341,2.04404345703333,0.00035473381286,0.00898063877773867,3
0.0079999994487,0.0074999998324,2.34777311196667,0.00035991409095,0.0140047442695825,4
0.0089999996126,0.0085000004619,2.62683691406667,0.00036317919148,0.0229345326392445,5
0.0099999997765,0.0094999996945,2.87107454426667,0.00036810929305,0.0286212157502655,5
0.01099999994,0.010499999858,3.07881640626667,0.00037199925282,0.030721141154553,6
0.011999999173,0.011500000022,3.24838964843333,0.00037625982077,0.0310673317123028,8
0.012999999337,0.012500000186,3.38986295566667,0.00037773998338,0.0286288150893097,9
0.013999999501,0.01350000035,3.50906022133333,0.00038576009683,0.0253068128251891,10
0.014999999665,0.014499999583,3.61066276033333,0.00039222466876,0.0216142192912591,11
0.015999998897,0.015499999747,3.695923828,0.00039710261626,0.0179991960690926,14
0.016999999061,0.016499999911,3.765993164,0.00040448838263,0.0143343626521325,18
0.017999999225,0.017500000075,3.821891276,0.00040640629595,0.00957517840948838,21
0.018999999389,0.018500000238,3.86528645833333,0.00041304461774,0.0047310497150604,28
0.019999999553,0.019500000402,3.89822037766667,0.00042818207294,0.000290207646881718,35
0.020999999717,0.020500000566,3.90577636733333,0.00042395901983,0.0090829731256966,47
0.021999999881,0.02150000073,3.89882356766667,0.00044818790047,0.0153432239505226,61
0.022999998182,0.022500000894,3.85096223966667,0.00046037629363,0.0215404838329992,57
0.023999998346,0.023499999195,3.79269986966667,0.0004729575885,0.0286137167208207,56
0.02499999851,0.024499999359,3.72028092433333,0.00048348205746,0.0366088678096657,50
0.025999998674,0.025499999523,3.63441731766667,0.00048923422582,0.0432551228931849,61
0.026999998838,0.026499999687,3.524599935,0.00049931724789,0.0504981021869098,57
0.027999999002,0.027499999851,3.399326823,0.00051729893312,0.0579177078286167,62
0.028999999166,0.028500000015,3.2577936198,0.00050983234541,0.0677849438110182,56
0.029999999329,0.029500000179,3.1219202474,0.00049928703811,0.0784702939195824,56
0.030999999493,0.030500000343,2.99354296873333,0.00049684086116,0.0875059144988486,57
0.031999997795,0.031500000507,2.87448697916667,0.0004987383727,0.0958594785451962,55
0.032999999821,0.032499998808,2.76096940103333,0.00049560808111,0.103986419172218,55
0.033999998122,0.033500000834,2.64886979166667,0.00049429619685,0.111630796288236,56
0.034999996424,0.034499999136,2.54194954426667,0.00049607321853,0.119182039782011,56
0.03599999845,0.035500001162,2.44131917316667,0.00049069337547,0.126554833059744,55
0.036999996752,0.036499999464,2.3471171875,0.00048733779113,0.133241967955574,56
0.037999998778,0.03750000149,2.25834570313333,0.00048684704234,0.139096861523953,57
0.038999997079,0.038499999791,2.17411653646667,0.00048294142471,0.145070605307487,55
0.039999999106,0.039500001818,2.0940234375,0.00047948514111,0.151237640505822,55
0.040999997407,0.040500000119,2.01823860676667,0.00047817983432,0.157105718806209,55
0.041999999434,0.04149999842,1.945078125,0.00047842483036,0.162491304743168,58
0.042999997735,0.042500000447,1.87644677733333,0.00048349122517,0.167711577879289,56
0.043999999762,0.043499998748,1.80954817706667,0.0004797851725,0.173408985353225,56
0.044999998063,0.044500000775,1.7459588216,0.00047661413555,0.179011783368631,57
0.045999996364,0.045499999076,1.6857233073,0.00047416667803,0.184513070843922,57
0.046999998391,0.046500001103,1.6279580078,0.00047186407028,0.189859805602072,59
0.047999996692,0.047499999404,1.57367789713333,0.00047230327618,0.194943314453547,59
0.048999998719,0.048500001431,1.52268359373333,0.00047164873104,0.199967124096208,58
0.04999999702,0.049499999732,1.47406233723333,0.000467323669,0.205006727183251,58
0.050999999046,0.050500001758,1.4280538737,0.00046400874271,0.209923093664187,58
0.051999997348,0.05150000006,1.3842545573,0.00046317261877,0.214628348162084,59
0.052999999374,0.052499998361,1.34260717773333,0.0004646286543,0.219114248666281,60
0.053999997675,0.053500000387,1.3033194987,0.00046474050032,0.223526728138332,60
0.054999999702,0.054499998689,1.26563623046667,0.00046287104487,0.227882755418561,61
0.055999998003,0.055500000715,1.2298815918,0.00046349843615,0.232098902341369,62
0.056999996305,0.056499999017,1.19570410156667,0.00046373004443,0.236249162141338,63
0.057999998331,0.057500001043,1.16336067706667,0.00046277075307,0.240376118953879,63
0.058999996632,0.058499999344,1.13227205403333,0.00046097760787,0.244480241902632,64
0.059999998659,0.059500001371,1.10282267253333,0.00046048359945,0.248469164810303,64
0.06099999696,0.060499999672,1.07478027343333,0.00046003828174,0.252387811058442,64
0.061999998987,0.061500001699,1.04814290363333,0.00045970105566,0.256244753961364,64
0.062999993563,0.0625,1.02254996743333,0.00045985353063,0.260045600437599,65
0.063999995589,0.063500002027,0.998267822266667,0.00046047227806,0.263788120999337,65
0.064999997616,0.064499996603,0.9751673991,0.00046058886801,0.267490079480106,65
0.065999999642,0.065499998629,0.953383056633333,0.00045957413386,0.271201514422818,64
0.066999994218,0.066500000656,0.9323252767,0.0004568460281,0.274885817036381,64
0.067999996245,0.067500002682,0.912230387366667,0.00042592964019,0.278447816142303,56
