#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
1	1.000000e-04	-1.250000e-08	-3.082648e+01	2.033928e+01	8.361529e-08	1.072891e-07	4.296798e-08
2	2.000000e-04	-5.000000e-08	-9.710852e+01	9.306048e+01	1.709234e-06	1.953265e-06	2.178575e-07
3	3.000000e-04	-1.125000e-07	-2.167606e+02	2.122418e+02	9.684896e-06	1.010024e-05	4.144642e-07
4	4.000000e-04	-2.000000e-07	-3.844912e+02	3.751688e+02	3.236402e-05	3.314336e-05	8.111358e-07
5	5.000000e-04	-3.125000e-07	-5.938394e+02	5.918751e+02	8.164619e-05	8.294075e-05	1.228095e-06
6	6.000000e-04	-4.500000e-07	-8.581049e+02	8.496367e+02	1.729989e-04	1.746874e-04	1.748290e-06
7	7.000000e-04	-6.125000e-07	-1.163630e+03	1.158193e+03	3.254256e-04	3.279200e-04	2.453933e-06
8	8.000000e-04	-8.000000e-07	-1.519143e+03	1.514970e+03	5.614920e-04	5.646176e-04	3.111678e-06
9	9.000000e-04	-1.012500e-06	-1.923011e+03	1.914408e+03	9.073135e-04	9.112741e-04	4.001187e-06
10	1.000000e-03	-1.250000e-06	-2.371140e+03	2.367725e+03	1.392551e-03	1.397554e-03	4.944444e-06
11	1.100000e-03	-1.512500e-06	-2.869547e+03	2.862729e+03	2.050431e-03	2.056320e-03	5.903531e-06
12	1.200000e-03	-1.800000e-06	-3.414541e+03	3.407767e+03	2.917720e-03	2.924839e-03	7.149311e-06
13	1.300000e-03	-2.112500e-06	-4.004753e+03	4.001305e+03	4.034740e-03	4.043116e-03	8.277754e-06
14	1.400000e-03	-2.450000e-06	-4.646726e+03	4.638017e+03	5.445370e-03	5.454906e-03	9.647015e-06
15	1.500000e-03	-2.812500e-06	-5.331106e+03	5.327428e+03	7.197032e-03	7.208257e-03	1.112056e-05
16	1.600000e-03	-3.200000e-06	-6.066433e+03	6.059881e+03	9.340710e-03	9.353211e-03	1.252804e-05
17	1.700000e-03	-3.612500e-06	-6.848198e+03	6.841459e+03	1.193093e-02	1.194519e-02	1.429500e-05
18	1.800000e-03	-4.050000e-06	-7.675444e+03	7.671539e+03	1.502578e-02	1.504181e-02	1.591289e-05
19	1.900000e-03	-4.512500e-06	-8.553729e+03	8.545796e+03	1.868690e-02	1.870454e-02	1.775321e-05
20	2.000000e-03	-5.000000e-06	-9.475564e+03	9.471051e+03	2.297947e-02	2.299931e-02	1.975088e-05
21	2.100000e-03	-5.500000e-06	-1.041629e+04	1.042083e+04	2.784716e-02	2.786774e-02	1.974155e-05
22	2.200000e-03	-6.000000e-06	-1.136889e+04	1.136602e+04	3.318847e-02	3.320820e-02	1.954787e-05
23	2.300000e-03	-6.500000e-06	-1.231334e+04	1.231369e+04	3.900340e-02	3.902381e-02	1.986204e-05
24	2.400000e-03	-7.000000e-06	-1.326037e+04	1.326231e+04	4.529194e-02	4.531202e-02	1.954865e-05
25	2.500000e-03	-7.500000e-06	-1.421009e+04	1.420695e+04	5.205409e-02	5.207410e-02	1.975378e-05
26	2.600000e-03	-8.000000e-06	-1.515388e+04	1.515678e+04	5.928985e-02	5.931023e-02	1.970864e-05
27	2.700000e-03	-8.500000e-06	-1.610406e+04	1.610255e+04	6.699923e-02	6.701914e-02	1.961094e-05
28	2.800000e-03	-9.000000e-06	-1.704975e+04	1.704947e+04	7.518222e-02	7.520252e-02	1.978009e-05
29	2.900000e-03	-9.500000e-06	-1.799695e+04	1.799862e+04	8.383883e-02	8.385895e-02	1.963010e-05
30	3.000000e-03	-1.000000e-05	-1.894521e+04	1.894311e+04	9.296905e-02	9.298912e-02	1.969084e-05
31	3.100000e-03	-1.050000e-05	-1.989133e+04	1.989278e+04	1.025729e-01	1.025931e-01	1.974095e-05
32	3.200000e-03	-1.100000e-05	-2.083890e+04	2.083879e+04	1.126503e-01	1.126704e-01	1.961035e-05
33	3.300000e-03	-1.150000e-05	-2.178693e+04	2.178564e+04	1.232014e-01	1.232215e-01	1.975762e-05
34	3.400000e-03	-1.200000e-05	-2.273242e+04	2.273457e+04	1.342261e-01	1.342463e-01	1.966058e-05
35	3.500000e-03	-1.250000e-05	-2.368165e+04	2.367954e+04	1.457244e-01	1.457444e-01	1.966662e-05
36	3.600000e-03	-1.300000e-05	-2.462740e+04	2.462866e+04	1.576963e-01	1.577165e-01	1.974993e-05
37	3.700000e-03	-1.350000e-05	-2.557504e+04	2.557503e+04	1.701418e-01	1.701619e-01	1.961731e-05
38	3.800000e-03	-1.400000e-05	-2.652301e+04	2.652189e+04	1.830609e-01	1.830810e-01	1.974087e-05
39	3.900000e-03	-1.450000e-05	-2.746872e+04	2.747039e+04	1.964536e-01	1.964739e-01	1.967721e-05
40	4.000000e-03	-1.500000e-05	-2.841756e+04	2.841608e+04	2.103200e-01	2.103400e-01	1.965822e-05
41	4.100000e-03	-1.550000e-05	-2.936375e+04	2.936443e+04	2.246600e-01	2.246802e-01	1.974675e-05
42	4.200000e-03	-1.600000e-05	-3.031105e+04	3.031137e+04	2.394736e-01	2.394937e-01	1.962948e-05
43	4.300000e-03	-1.650000e-05	-3.125914e+04	3.125804e+04	2.547608e-01	2.547809e-01	1.972617e-05
44	4.400000e-03	-1.700000e-05	-3.220498e+04	3.220632e+04	2.705216e-01	2.705418e-01	1.968693e-05
45	4.500000e-03	-1.750000e-05	-3.315353e+04	3.315253e+04	2.867560e-01	2.867760e-01	1.965824e-05
46	4.600000e-03	-1.800000e-05	-3.410000e+04	3.410027e+04	3.034640e-01	3.034843e-01	1.973670e-05
47	4.700000e-03	-1.850000e-05	-3.504719e+04	3.504770e+04	3.206457e-01	3.206658e-01	1.964536e-05
48	4.800000e-03	-1.900000e-05	-3.599515e+04	3.599414e+04	3.383010e-01	3.383211e-01	1.971096e-05
49	4.900000e-03	-1.950000e-05	-3.694133e+04	3.694237e+04	3.564298e-01	3.564501e-01	1.969527e-05
50	5.000000e-03	-2.000000e-05	-3.788945e+04	3.788882e+04	3.750323e-01	3.750524e-01	1.965984e-05
51	5.100000e-03	-2.050000e-05	-3.883629e+04	3.883628e+04	3.941084e-01	3.941286e-01	1.972626e-05
52	5.200000e-03	-2.100000e-05	-3.978330e+04	3.978389e+04	4.136582e-01	4.136783e-01	1.965996e-05
53	5.300000e-03	-2.150000e-05	-4.073119e+04	4.073030e+04	4.336815e-01	4.337016e-01	1.969813e-05
54	5.400000e-03	-2.200000e-05	-4.167764e+04	4.167842e+04	4.541785e-01	4.541987e-01	1.970153e-05
55	5.500000e-03	-2.250000e-05	-4.262540e+04	4.262504e+04	4.751490e-01	4.751691e-01	1.966186e-05
56	5.600000e-03	-2.300000e-05	-4.357255e+04	4.357238e+04	4.965932e-01	4.966134e-01	1.971767e-05
57	5.700000e-03	-2.350000e-05	-4.451941e+04	4.451999e+04	5.185110e-01	5.185311e-01	1.967098e-05
58	5.800000e-03	-2.400000e-05	-4.546726e+04	4.546654e+04	5.409024e-01	5.409225e-01	1.968924e-05
59	5.900000e-03	-2.450000e-05	-4.641390e+04	4.641444e+04	5.637674e-01	5.637876e-01	1.970506e-05
60	6.000000e-03	-2.500000e-05	-4.736143e+04	4.736128e+04	5.871060e-01	5.871261e-01	1.966439e-05
61	6.100000e-03	-2.550000e-05	-4.830875e+04	4.830848e+04	6.109183e-01	6.109384e-01	1.971091e-05
62	6.200000e-03	-2.600000e-05	-4.925555e+04	4.925609e+04	6.352041e-01	6.352243e-01	1.967855e-05
63	6.300000e-03	-2.650000e-05	-5.020334e+04	5.020278e+04	6.599636e-01	6.599837e-01	1.968424e-05
64	6.400000e-03	-2.700000e-05	-5.115011e+04	5.115046e+04	6.851967e-01	6.852169e-01	1.970553e-05
65	6.500000e-03	-2.750000e-05	-5.209751e+04	5.209750e+04	7.109034e-01	7.109235e-01	1.966824e-05
66	6.600000e-03	-2.800000e-05	-5.304490e+04	5.304459e+04	7.370837e-01	7.371039e-01	1.970484e-05
67	6.700000e-03	-2.850000e-05	-5.399172e+04	5.399219e+04	7.637376e-01	7.637578e-01	1.968392e-05
68	6.800000e-03	-2.900000e-05	-5.493941e+04	5.493899e+04	7.908652e-01	7.908853e-01	1.968192e-05
69	6.900000e-03	-2.950000e-05	-5.588631e+04	5.588651e+04	8.184663e-01	8.184865e-01	1.970397e-05
70	7.000000e-03	-3.000000e-05	-5.683361e+04	5.683369e+04	8.465411e-01	8.465612e-01	1.967280e-05
71	7.100000e-03	-3.050000e-05	-5.778103e+04	5.778072e+04	8.750895e-01	8.751096e-01	1.969944e-05
72	7.200000e-03	-3.100000e-05	-5.872790e+04	5.872829e+04	9.041115e-01	9.041317e-01	1.968798e-05
73	7.300000e-03	-3.150000e-05	-5.967546e+04	5.967517e+04	9.336071e-01	9.336272e-01	1.968119e-05
74	7.400000e-03	-3.200000e-05	-6.062248e+04	6.062256e+04	9.635763e-01	9.635965e-01	1.970183e-05
75	7.500000e-03	-3.250000e-05	-6.156966e+04	6.156979e+04	9.940191e-01	9.940393e-01	1.967749e-05
76	7.600000e-03	-3.300000e-05	-6.251699e+04	6.251671e+04	1.024936e+00	1.024956e+00	1.969575e-05
77	7.700000e-03	-3.350000e-05	-6.346388e+04	6.346418e+04	1.056325e+00	1.056346e+00	1.969046e-05
78	7.800000e-03	-3.400000e-05	-6.441126e+04	6.441106e+04	1.088189e+00	1.088209e+00	1.968185e-05
79	7.900000e-03	-3.450000e-05	-6.535828e+04	6.535830e+04	1.120526e+00	1.120546e+00	1.969916e-05
80	8.000000e-03	-3.500000e-05	-6.630533e+04	6.630547e+04	1.153337e+00	1.153357e+00	1.968185e-05
81	8.100000e-03	-3.550000e-05	-6.725254e+04	6.725231e+04	1.186621e+00	1.186641e+00	1.969230e-05
82	8.200000e-03	-3.600000e-05	-6.819935e+04	6.819957e+04	1.220379e+00	1.220399e+00	1.969242e-05
83	8.300000e-03	-3.650000e-05	-6.914647e+04	6.914636e+04	1.254610e+00	1.254630e+00	1.968256e-05
84	8.400000e-03	-3.700000e-05	-7.009338e+04	7.009335e+04	1.289315e+00	1.289335e+00	1.969748e-05
