#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2028130610e-01	-3.2075014958e-01	8.5800665025e-01	-4.1697519457e-01	6.9444444452e-02	2.7777777781e-01	-4.3981481490e-01	9.2592592644e-02	-1.5713484029e-01	1.5713484029e-01	1.3094570029e-01	-1.3094570029e-01	-6.5206324186e-05	1.9530396619e-05	1.4175287857e-05	3.1500639710e-05	4.4194173830e-05	1.7823164755e-05	2.2679067810e-04	2.0878564430e-04	6.9444444454e-05	1.0288065854e-05	3.8837448568e-04	5.0411522657e-05
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.3179418063e-01	-6.4150029916e-01	1.2113940264e+00	-4.3809954661e-01	-1.1413710849e-01	5.5555555561e-01	-5.6316780574e-01	1.2174935862e-01	-6.9232654858e-02	3.1426968059e-01	-2.4989706438e-02	-2.2004731929e-01	-1.1318153920e-05	3.9060793238e-05	1.2155066492e-04	3.5278540933e-05	1.2336080745e-05	3.5646329509e-05	2.9222994520e-04	2.0924559417e-04	2.0883878840e-06	2.0576131709e-05	5.1930731572e-04	4.5811387928e-05
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2968459049e-01	-9.6225044875e-01	1.5911854076e+00	-4.9925036841e-01	-1.1231014984e-01	8.3333333342e-01	-9.3025143487e-01	2.0922825129e-01	-6.8198828976e-02	4.7140452088e-01	-4.7472770457e-02	-3.5573292145e-01	-1.1189460170e-05	5.8591189858e-05	2.0373280998e-04	6.3503486323e-05	1.2218489546e-05	5.3469494264e-05	3.7805145956e-04	2.3369845037e-04	2.0208794907e-06	3.0864197563e-05	6.7933479836e-04	4.8844200830e-05
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2761425024e-01	-1.2830005983e+00	1.9704684681e+00	-5.5985361948e-01	-1.1051718260e-01	1.1111111112e+00	-1.2973455882e+00	2.9675165959e-01	-6.7183236293e-02	6.2853936117e-01	-6.9983649614e-02	-4.9137247527e-01	-1.1062454042e-05	7.8121586477e-05	2.8593465553e-04	9.1757561322e-05	1.2102010384e-05	7.1292659019e-05	4.6371815849e-04	2.5786703695e-04	1.9550861690e-06	4.1152263417e-05	8.3913475854e-04	5.1803676721e-05
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2558235579e-01	-1.6037507479e+00	2.3492472879e+00	-6.1991418419e-01	-1.0875751038e-01	1.3888888890e+00	-1.6644505818e+00	3.8431920310e-01	-6.6185514873e-02	7.8567420147e-01	-9.2522247952e-02	-6.2696643864e-01	-1.0937109151e-05	9.7651983096e-05	3.6815617083e-04	1.2004050874e-04	1.1986632943e-05	8.9115823773e-05	5.4923132151e-04	2.8175389179e-04	1.8909674630e-06	5.1440329271e-05	9.9870905280e-04	5.4690471314e-05
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2358812034e-01	-1.9245008975e+00	2.7275259214e+00	-6.7943690360e-01	-1.0703045182e-01	1.6666666668e+00	-2.0315667196e+00	4.7193050456e-01	-6.5205310462e-02	9.4280904176e-01	-1.1508846651e-01	-7.6251526478e-01	-1.0813399597e-05	1.1718237972e-04	4.5039732204e-04	1.4835207362e-04	1.1872346999e-05	1.0693898853e-04	6.3459221907e-04	3.0536153024e-04	1.8284838447e-06	6.1728395126e-05	1.1580595251e-03	5.7505234488e-05
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2163077408e-01	-2.2436466797e+00	3.1037040296e+00	-7.3842657581e-01	-1.0533534023e-01	1.9453707266e+00	-2.3996205762e+00	5.5958518984e-01	-6.4242276311e-02	1.0980725100e+00	-1.3581083139e-01	-8.9801940228e-01	-1.0691299950e-05	1.3587543753e-04	5.3187475531e-04	1.7669200326e-04	1.1759142418e-05	1.2434109457e-04	7.1928748523e-04	3.2869244532e-04	1.7675966927e-06	7.1090179062e-05	1.3162617249e-03	6.0248610337e-05
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1970956373e-01	-2.5409207945e+00	3.4575183146e+00	-7.9688795636e-01	-1.0367152327e-01	2.2367023994e+00	-2.7803137640e+00	6.4728288792e-01	-6.3296073021e-02	1.2278243472e+00	-1.3104897908e-01	-1.0334792951e+00	-1.0570785245e-05	1.4315340641e-04	6.0269311622e-04	2.0506004713e-04	1.1647009156e-05	1.3600308364e-04	7.9681730116e-04	3.5174910789e-04	1.7082682719e-06	6.7824349918e-05	1.4616161398e-03	6.2921237222e-05
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1782375226e-01	-2.8329749003e+00	3.8056244112e+00	-8.5482575860e-01	-1.0203836263e-01	2.5310478458e+00	-3.1640327140e+00	7.3502323084e-01	-6.2366368373e-02	1.3494981781e+00	-1.1823642691e-01	-1.1688953828e+00	-1.0451830970e-05	1.4741986360e-04	6.6954674662e-04	2.3345595693e-04	1.1535937258e-05	1.4480315755e-04	8.7302152071e-04	3.7453396687e-04	1.6504617135e-06	6.1544747151e-05	1.6037384156e-03	6.5523747819e-05
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1597261846e-01	-3.1148173790e+00	4.1430346516e+00	-9.1224465407e-01	-1.0043523373e-01	2.8312889778e+00	-3.5536595979e+00	8.2280585373e-01	-6.1452837178e-02	1.4549356958e+00	-8.9214758421e-02	-1.3042681002e+00	-1.0334413058e-05	1.4573245550e-04	7.2831265395e-04	2.6187948650e-04	1.1425916856e-05	1.4767931558e-04	9.4688422565e-04	3.9704944942e-04	1.5941409951e-06	4.9369458766e-05	1.7397484341e-03	6.8056769174e-05
11	1.100000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.4000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1415545663e-01	-3.3955804213e+00	4.4788851508e+00	-9.6914927286e-01	-9.8861525419e-02	3.1321533228e+00	-3.9439221922e+00	9.1063039473e-01	-6.0555161121e-02	1.5590427874e+00	-5.8889748231e-02	-1.4395978780e+00	-1.0218507877e-05	1.4347137848e-04	7.8651947053e-04	2.9033039183e-04	1.1316938172e-05	1.5021867110e-04	1.0202724715e-03	4.1929796113e-04	1.5392709215e-06	3.6570957434e-05	1.8749204492e-03	7.0520922749e-05
