#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	2.6524408931e+06	6.6039365142e-12	6.4663545035e-12	1.6329931620e-03	2.0328790734e-20	1.9905274260e-20	2.6524408931e+06	6.6039365142e-12	6.4663545035e-12	1.6329931620e-03	2.0328790734e-20	1.9905274260e-20	2.6524408931e+06	-3.8477135663e-06	4.0743106679e-12	1.6329931620e-03	-1.1844354307e-14	1.2541884492e-20	2.6524408931e+06	-3.8477135663e-06	4.0743106679e-12	1.6329931620e-03	-1.1844354307e-14	1.2541884492e-20	2.6524408931e+06	4.4667526685e-05	-3.4410999913e-06	1.6329931621e-03	1.3749932343e-13	-1.0592682330e-14	2.6524408931e+06	4.4667526685e-05	-3.4410999913e-06	1.6329931621e-03	1.3749932343e-13	-1.0592682330e-14	2.6524408931e+06	-3.8477135663e-06	-4.0743106679e-12	1.6329931620e-03	-1.1844354307e-14	-1.2541884492e-20	2.6524408931e+06	-3.8477135663e-06	-4.0743106679e-12	1.6329931620e-03	-1.1844354307e-14	-1.2541884492e-20	2.6524408931e+06	4.4667526685e-05	3.4410999913e-06	1.6329931621e-03	1.3749932343e-13	1.0592682330e-14	2.6524408931e+06	4.4667526685e-05	3.4410999913e-06	1.6329931621e-03	1.3749932343e-13	1.0592682330e-14	2.6524408931e+06	6.6011675298e-05	0.0000000000e+00	1.6329931620e-03	2.0320267014e-13	0.0000000000e+00	2.6524408931e+06	6.6011675298e-05	0.0000000000e+00	1.6329931620e-03	2.0320267014e-13	0.0000000000e+00
2	2.000000e-02	2.3263864837e+06	5.7921398687e-12	5.6714702881e-12	3.2659863240e-03	4.0657581468e-20	3.9810548521e-20	2.3263864837e+06	5.7921398687e-12	5.6714702881e-12	3.2659863240e-03	4.0657581468e-20	3.9810548521e-20	2.3263864837e+06	-3.3747288610e-06	3.5734712479e-12	3.2659863240e-03	-2.3688708614e-14	2.5083768983e-20	2.3263864837e+06	-3.3747288610e-06	3.5734712479e-12	3.2659863240e-03	-2.3688708614e-14	2.5083768983e-20	2.3263864837e+06	3.9176718551e-05	-3.0180987368e-06	3.2659863242e-03	2.7499864685e-13	-2.1185364660e-14	2.3263864837e+06	3.9176718551e-05	-3.0180987368e-06	3.2659863242e-03	2.7499864685e-13	-2.1185364660e-14	2.3263864837e+06	-3.3747288610e-06	-3.5734712479e-12	3.2659863240e-03	-2.3688708614e-14	-2.5083768983e-20	2.3263864837e+06	-3.3747288610e-06	-3.5734712479e-12	3.2659863240e-03	-2.3688708614e-14	-2.5083768983e-20	2.3263864837e+06	3.9176718551e-05	3.0180987368e-06	3.2659863242e-03	2.7499864685e-13	2.1185364660e-14	2.3263864837e+06	3.9176718551e-05	3.0180987368e-06	3.2659863242e-03	2.7499864685e-13	2.1185364660e-14	2.3263864837e+06	5.7897112649e-05	0.0000000000e+00	3.2659863239e-03	4.0640534027e-13	0.0000000000e+00	2.3263864837e+06	5.7897112649e-05	0.0000000000e+00	3.2659863239e-03	4.0640534027e-13	0.0000000000e+00
3	3.000000e-02	2.0404126953e+06	-8.8902349871e-12	-8.4668904639e-12	4.8989794860e-03	-1.0672615135e-19	-1.0164395367e-19	2.0404126953e+06	-8.8902349871e-12	-8.4668904639e-12	4.8989794860e-03	-1.0672615135e-19	-1.0164395367e-19	2.0404126953e+06	-2.9598904479e-06	-5.7913155961e-12	4.8989794859e-03	-3.5533112048e-14	-6.9524014352e-20	2.0404126953e+06	-2.9598904479e-06	-5.7913155961e-12	4.8989794859e-03	-3.5533112048e-14	-6.9524014352e-20	2.0404126952e+06	3.4360863689e-05	-2.6470976657e-06	4.8989794864e-03	4.1249784110e-13	-3.1778074096e-14	2.0404126952e+06	3.4360863689e-05	-2.6470976657e-06	4.8989794864e-03	4.1249784110e-13	-3.1778074096e-14	2.0404126953e+06	-2.9598904479e-06	5.7913155961e-12	4.8989794859e-03	-3.5533112048e-14	6.9524014352e-20	2.0404126953e+06	-2.9598904479e-06	5.7913155961e-12	4.8989794859e-03	-3.5533112048e-14	6.9524014352e-20	2.0404126952e+06	3.4360863689e-05	2.6470976657e-06	4.8989794864e-03	4.1249784110e-13	3.1778074096e-14	2.0404126952e+06	3.4360863689e-05	2.6470976657e-06	4.8989794864e-03	4.1249784110e-13	3.1778074096e-14	2.0404126953e+06	5.0780039830e-05	0.0000000000e+00	4.8989794859e-03	6.0960798273e-13	0.0000000000e+00	2.0404126953e+06	5.0780039830e-05	0.0000000000e+00	4.8989794859e-03	6.0960798273e-13	0.0000000000e+00
4	4.000000e-02	1.7895925703e+06	4.4556528108e-12	4.3628267105e-12	6.5319726480e-03	8.1315162936e-20	7.9621097042e-20	1.7895925703e+06	4.4556528108e-12	4.3628267105e-12	6.5319726480e-03	8.1315162936e-20	7.9621097042e-20	1.7895925703e+06	-2.5960388520e-06	2.7489231218e-12	6.5319726479e-03	-4.7377417227e-14	5.0167537967e-20	1.7895925703e+06	-2.5960388520e-06	2.7489231218e-12	6.5319726479e-03	-4.7377417227e-14	5.0167537967e-20	1.7895925703e+06	3.0137023636e-05	-2.3216980986e-06	6.5319726485e-03	5.4999729371e-13	-4.2370729321e-14	1.7895925703e+06	3.0137023636e-05	-2.3216980986e-06	6.5319726485e-03	5.4999729371e-13	-4.2370729321e-14	1.7895925703e+06	-2.5960388520e-06	-2.7489231218e-12	6.5319726479e-03	-4.7377417227e-14	-5.0167537967e-20	1.7895925703e+06	-2.5960388520e-06	-2.7489231218e-12	6.5319726479e-03	-4.7377417227e-14	-5.0167537967e-20	1.7895925703e+06	3.0137023636e-05	2.3216980986e-06	6.5319726485e-03	5.4999729371e-13	4.2370729321e-14	1.7895925703e+06	3.0137023636e-05	2.3216980986e-06	6.5319726485e-03	5.4999729371e-13	4.2370729321e-14	1.7895925703e+06	4.4537845867e-05	0.0000000000e+00	6.5319726479e-03	8.1281068054e-13	0.0000000000e+00	1.7895925703e+06	4.4537845867e-05	0.0000000000e+00	6.5319726479e-03	8.1281068054e-13	0.0000000000e+00
5	5.000000e-02	1.5696048036e+06	-6.5132274340e-12	1.8888359559e-12	8.1649658100e-03	-1.6940658945e-19	4.9127910941e-20	1.5696048036e+06	-6.5132274340e-12	1.8888359559e-12	8.1649658100e-03	-1.6940658945e-19	4.9127910941e-20	1.5696048036e+06	-2.2769156455e-06	-1.6109094192e-12	8.1649658099e-03	-5.9221717324e-14	-4.1899146525e-20	1.5696048036e+06	-2.2769156455e-06	-1.6109094192e-12	8.1649658099e-03	-5.9221717324e-14	-4.1899146525e-20	1.5696048035e+06	2.6432375882e-05	-2.0363204355e-06	8.1649658106e-03	6.8749612924e-13	-5.2963926647e-14	1.5696048035e+06	2.6432375882e-05	-2.0363204355e-06	8.1649658106e-03	6.8749612924e-13	-5.2963926647e-14	1.5696048036e+06	-2.2769156455e-06	1.6109094192e-12	8.1649658099e-03	-5.9221717324e-14	4.1899146525e-20	1.5696048036e+06	-2.2769156455e-06	1.6109094192e-12	8.1649658099e-03	-5.9221717324e-14	4.1899146525e-20	1.5696048035e+06	2.6432375882e-05	2.0363204355e-06	8.1649658106e-03	6.8749612924e-13	5.2963926647e-14	1.5696048035e+06	2.6432375882e-05	2.0363204355e-06	8.1649658106e-03	6.8749612924e-13	5.2963926647e-14	1.5696048036e+06	3.9062961162e-05	0.0000000000e+00	8.1649658099e-03	1.0160128893e-12	0.0000000000e+00	1.5696048036e+06	3.9062961162e-05	0.0000000000e+00	8.1649658099e-03	1.0160128893e-12	0.0000000000e+00
6	6.000000e-02	1.3766592912e+06	-5.7125813085e-12	-5.7125813085e-12	9.7979589720e-03	-2.0328790734e-19	-2.0328790734e-19	1.3766592912e+06	-5.7125813085e-12	-5.7125813085e-12	9.7979589720e-03	-2.0328790734e-19	-2.0328790734e-19	1.3766592912e+06	-1.9970401794e-06	-3.9073803266e-12	9.7979589719e-03	-7.1066667942e-14	-1.3904802870e-19	1.3766592912e+06	-1.9970401794e-06	-3.9073803266e-12	9.7979589719e-03	-7.1066667942e-14	-1.3904802870e-19	1.3766592911e+06	2.3183152371e-05	-1.7859814201e-06	9.7979589727e-03	8.2499561530e-13	-6.3555931351e-14	1.3766592911e+06	2.3183152371e-05	-1.7859814201e-06	9.7979589727e-03	8.2499561530e-13	-6.3555931351e-14	1.3766592912e+06	-1.9970401794e-06	3.9073803266e-12	9.7979589719e-03	-7.1066667942e-14	1.3904802870e-19	1.3766592912e+06	-1.9970401794e-06	3.9073803266e-12	9.7979589719e-03	-7.1066667942e-14	1.3904802870e-19	1.3766592911e+06	2.3183152371e-05	1.7859814201e-06	9.7979589727e-03	8.2499561530e-13	6.3555931351e-14	1.3766592911e+06	2.3183152371e-05	1.7859814201e-06	9.7979589727e-03	8.2499561530e-13	6.3555931351e-14	1.3766592912e+06	3.4261104193e-05	0.0000000000e+00	9.7979589718e-03	1.2192155871e-12	0.0000000000e+00	1.3766592912e+06	3.4261104193e-05	0.0000000000e+00	9.7979589718e-03	1.2192155871e-12	0.0000000000e+00
7	7.000000e-02	1.2074318323e+06	4.1514374537e-12	4.2230139615e-12	1.1430952134e-02	1.9651164376e-19	1.9989977555e-19	1.2074318323e+06	4.1514374537e-12	4.2230139615e-12	1.1430952134e-02	1.9651164376e-19	1.9989977555e-19	1.2074318323e+06	-1.7515531988e-06	-3.0155350636e-13	1.1430952134e-02	-8.2911184879e-14	-1.4274278699e-20	1.2074318323e+06	-1.7515531988e-06	-3.0155350636e-13	1.1430952134e-02	-8.2911184879e-14	-1.4274278699e-20	1.2074318323e+06	2.0333331580e-05	-1.5664558818e-06	1.1430952135e-02	9.6249466768e-13	-7.4149453938e-14	1.2074318323e+06	2.0333331580e-05	-1.5664558818e-06	1.1430952135e-02	9.6249466768e-13	-7.4149453938e-14	1.2074318323e+06	-1.7515531988e-06	3.0155350636e-13	1.1430952134e-02	-8.2911184879e-14	1.4274278699e-20	1.2074318323e+06	-1.7515531988e-06	3.0155350636e-13	1.1430952134e-02	-8.2911184879e-14	1.4274278699e-20	1.2074318323e+06	2.0333331580e-05	1.5664558818e-06	1.1430952135e-02	9.6249466768e-13	7.4149453938e-14	1.2074318323e+06	2.0333331580e-05	1.5664558818e-06	1.1430952135e-02	9.6249466768e-13	7.4149453938e-14	1.2074318324e+06	3.0049527859e-05	0.0000000000e+00	1.1430952134e-02	1.4224186633e-12	0.0000000000e+00	1.2074318324e+06	3.0049527859e-05	0.0000000000e+00	1.1430952134e-02	1.4224186633e-12	0.0000000000e+00
8	8.000000e-02	1.0590068575e+06	2.6366710274e-12	2.5817403810e-12	1.3063945296e-02	1.6263032587e-19	1.5924219408e-19	1.0590068575e+06	2.6366710274e-12	2.5817403810e-12	1.3063945296e-02	1.6263032587e-19	1.5924219408e-19	1.0590068575e+06	-1.5362284087e-06	1.6266989956e-12	1.3063945296e-02	-9.4754834454e-14	1.0033507593e-19	1.0590068575e+06	-1.5362284087e-06	1.6266989956e-12	1.3063945296e-02	-9.4754834454e-14	1.0033507593e-19	1.0590068574e+06	1.7833843983e-05	-1.3738848987e-06	1.3063945297e-02	1.0999945874e-12	-8.4741458642e-14	1.0590068574e+06	1.7833843983e-05	-1.3738848987e-06	1.3063945297e-02	1.0999945874e-12	-8.4741458642e-14	1.0590068575e+06	-1.5362284087e-06	-1.6266989956e-12	1.3063945296e-02	-9.4754834454e-14	-1.0033507593e-19	1.0590068575e+06	-1.5362284087e-06	-1.6266989956e-12	1.3063945296e-02	-9.4754834454e-14	-1.0033507593e-19	1.0590068574e+06	1.7833843983e-05	1.3738848987e-06	1.3063945297e-02	1.0999945874e-12	8.4741458642e-14	1.0590068574e+06	1.7833843983e-05	1.3738848987e-06	1.3063945297e-02	1.0999945874e-12	8.4741458642e-14	1.0590068575e+06	2.6355654898e-05	0.0000000000e+00	1.3063945296e-02	1.6256213611e-12	0.0000000000e+00	1.0590068575e+06	2.6355654898e-05	0.0000000000e+00	1.3063945296e-02	1.6256213611e-12	0.0000000000e+00
9	9.000000e-02	9.2882719678e+05	-4.1112091508e-12	1.4988783362e-12	1.4696938458e-02	-3.2526065175e-19	1.1858461262e-19	9.2882719678e+05	-4.1112091508e-12	1.4988783362e-12	1.4696938458e-02	-3.2526065175e-19	1.1858461262e-19	9.2882719678e+05	-1.3473984907e-06	2.7168411092e-12	1.4696938458e-02	-1.0660019842e-13	2.1494443057e-19	9.2882719678e+05	-1.3473984907e-06	2.7168411092e-12	1.4696938458e-02	-1.0660019842e-13	2.1494443057e-19	9.2882719672e+05	1.5641585086e-05	-1.2050008835e-06	1.4696938459e-02	1.2374929062e-12	-9.5334330708e-14	9.2882719672e+05	1.5641585086e-05	-1.2050008835e-06	1.4696938459e-02	1.2374929062e-12	-9.5334330708e-14	9.2882719678e+05	-1.3473984907e-06	-2.7168411092e-12	1.4696938458e-02	-1.0660019842e-13	-2.1494443057e-19	9.2882719678e+05	-1.3473984907e-06	-2.7168411092e-12	1.4696938458e-02	-1.0660019842e-13	-2.1494443057e-19	9.2882719672e+05	1.5641585086e-05	1.2050008835e-06	1.4696938459e-02	1.2374929062e-12	9.5334330708e-14	9.2882719672e+05	1.5641585086e-05	1.2050008835e-06	1.4696938459e-02	1.2374929062e-12	9.5334330708e-14	9.2882719682e+05	2.3115854042e-05	0.0000000000e+00	1.4696938458e-02	1.8288239482e-12	0.0000000000e+00	9.2882719682e+05	2.3115854042e-05	0.0000000000e+00	1.4696938458e-02	1.8288239482e-12	0.0000000000e+00
10	1.000000e-01	8.1465002366e+05	-3.5832974794e-12	8.7892202324e-13	1.6329931620e-02	-3.5914196964e-19	8.8091426514e-20	8.1465002366e+05	-3.5832974794e-12	8.7892202324e-13	1.6329931620e-02	-3.5914196964e-19	8.8091426514e-20	8.1465002366e+05	-1.1817641264e-06	-9.3750186014e-13	1.6329931620e-02	-1.1844428168e-13	-9.3962688424e-20	8.1465002366e+05	-1.1817641264e-06	-9.3750186014e-13	1.6329931620e-02	-1.1844428168e-13	-9.3962688424e-20	8.1465002360e+05	1.3718827621e-05	-1.0568720916e-06	1.6329931621e-02	1.3749923923e-12	-1.0592676909e-13	8.1465002360e+05	1.3718827621e-05	-1.0568720916e-06	1.6329931621e-02	1.3749923923e-12	-1.0592676909e-13	8.1465002366e+05	-1.1817641264e-06	9.3750186014e-13	1.6329931620e-02	-1.1844428168e-13	9.3962688424e-20	8.1465002366e+05	-1.1817641264e-06	9.3750186014e-13	1.6329931620e-02	-1.1844428168e-13	9.3962688424e-20	8.1465002360e+05	1.3718827621e-05	1.0568720916e-06	1.6329931621e-02	1.3749923923e-12	1.0592676909e-13	8.1465002360e+05	1.3718827621e-05	1.0568720916e-06	1.6329931621e-02	1.3749923923e-12	1.0592676909e-13	8.1465002370e+05	2.0274301168e-05	0.0000000000e+00	1.6329931620e-02	2.0320256679e-12	0.0000000000e+00	8.1465002370e+05	2.0274301168e-05	0.0000000000e+00	1.6329931620e-02	2.0320256679e-12	0.0000000000e+00
