#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.3033008599e-01	-2.6516504297e-01	-2.6516504302e-01	0.0000000000e+00	2.0412414526e-01	-1.5309310893e-01	-5.1031036327e-02	0.0000000000e+00	1.4433756734e-01	0.0000000000e+00	-1.4433756734e-01	0.0000000000e+00	4.3456773367e-15	1.7361111113e-05	-1.7361111117e-05	0.0000000000e+00	1.6438445169e-04	-3.0070326524e-05	1.5436100951e-04	0.0000000000e+00	-2.3247472100e-04	-1.5309310894e-04	-2.2680460586e-05
2	2.000000e-02	0.0000000000e+00	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.5175644282e-01	4.1158624207e-01	-1.2991489961e-01	-1.2991489964e-01	0.0000000000e+00	-1.5001280454e-01	1.1250960340e-01	3.7503201140e-02	0.0000000000e+00	-1.0607507136e-01	0.0000000000e+00	1.0607507136e-01	0.0000000000e+00	-2.2936618831e-15	-1.2758848125e-05	1.2758848127e-05	-1.7209530097e-05	2.8995649138e-05	-1.4732648799e-05	5.5984065438e-05	2.4337950864e-05	-4.1006040264e-05	-5.4171290522e-05	-4.1670223471e-06
3	3.000000e-02	0.0000000000e+00	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.4004385180e-01	3.9051091157e-01	-1.2523352987e-01	-1.2523352990e-01	0.0000000000e+00	-1.4460722438e-01	1.0845541828e-01	3.6151806100e-02	0.0000000000e+00	-1.0225274898e-01	0.0000000000e+00	1.0225274898e-01	0.0000000000e+00	-2.1939980807e-15	-1.2299094196e-05	1.2299094198e-05	-1.5881295302e-05	2.7242711856e-05	-1.4201770689e-05	5.3966728622e-05	2.2459543204e-05	-3.8527012585e-05	-5.2219275465e-05	-4.0168673427e-06
4	4.000000e-02	0.0000000000e+00	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2923524077e-01	3.7067693919e-01	-1.2072084920e-01	-1.2072084922e-01	0.0000000000e+00	-1.3939642957e-01	1.0454732217e-01	3.4849107398e-02	0.0000000000e+00	-9.8568160633e-02	0.0000000000e+00	9.8568160633e-02	0.0000000000e+00	-2.0985296325e-15	-1.1855907097e-05	1.1855907099e-05	-1.4655573921e-05	2.5607591769e-05	-1.3690022308e-05	5.2022084774e-05	2.0726111402e-05	-3.6214603583e-05	-5.0337599562e-05	-3.8721230425e-06
5	5.000000e-02	0.0000000000e+00	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1926084040e-01	3.5200239846e-01	-1.1637077902e-01	-1.1637077904e-01	0.0000000000e+00	-1.3437340119e-01	1.0078005089e-01	3.3593350304e-02	0.0000000000e+00	-9.5016343206e-02	0.0000000000e+00	9.5016343206e-02	0.0000000000e+00	-2.0070996257e-15	-1.1428689858e-05	1.1428689860e-05	-1.3524453948e-05	2.4081825416e-05	-1.3196714332e-05	5.0147514465e-05	1.9126466196e-05	-3.4056844112e-05	-4.8523728205e-05	-3.7325944766e-06
6	6.000000e-02	0.0000000000e+00	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1005626613e-01	3.3441118578e-01	-1.1217745982e-01	-1.1217745984e-01	0.0000000000e+00	-1.2953137325e-01	9.7148529932e-02	3.2382843318e-02	0.0000000000e+00	-9.1592512412e-02	0.0000000000e+00	9.1592512412e-02	0.0000000000e+00	-1.9195270068e-15	-1.1016867019e-05	1.1016867021e-05	-1.2480634029e-05	2.2657579853e-05	-1.2721182278e-05	4.8340492658e-05	1.7650281910e-05	-3.2042656721e-05	-4.6775218114e-05	-3.5980937004e-06
7	7.000000e-02	0.0000000000e+00	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0156210265e-01	3.1783258907e-01	-1.0813524320e-01	-1.0813524322e-01	0.0000000000e+00	-1.2486382355e-01	9.3647867655e-02	3.1215955892e-02	0.0000000000e+00	-8.8292056365e-02	0.0000000000e+00	8.8292056365e-02	0.0000000000e+00	-1.8356643923e-15	-1.0619883855e-05	1.0619883857e-05	-1.1517376329e-05	2.1327604814e-05	-1.2262785605e-05	4.6598585300e-05	1.6288029806e-05	-3.0161787984e-05	-4.5089714055e-05	-3.4684395420e-06
8	8.000000e-02	0.0000000000e+00	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.3723520318e-02	3.0220088898e-01	-1.0423868432e-01	-1.0423868434e-01	0.0000000000e+00	-1.2036446491e-01	9.0273348681e-02	3.0091116233e-02	0.0000000000e+00	-8.5110529364e-02	0.0000000000e+00	8.5110529364e-02	0.0000000000e+00	-1.7553561398e-15	-1.0237205632e-05	1.0237205634e-05	-1.0628463041e-05	2.0085188526e-05	-1.1820906855e-05	4.4919446049e-05	1.5030916579e-05	-2.8404746019e-05	-4.3464945660e-05	-3.3434573578e-06
9	9.000000e-02	0.0000000000e+00	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.6489921255e-02	2.8745499034e-01	-1.0048253454e-01	-1.0048253455e-01	0.0000000000e+00	-1.1602723673e-01	8.7020427545e-02	2.9006809188e-02	0.0000000000e+00	-8.2043645905e-02	0.0000000000e+00	8.2043645905e-02	0.0000000000e+00	-1.6784523244e-15	-9.8683168839e-06	9.8683168856e-06	-9.8081562487e-06	1.8924116905e-05	-1.1394950819e-05	4.3300813113e-05	1.3870827588e-05	-2.6762742786e-05	-4.1898724372e-05	-3.2229787972e-06
10	1.000000e-01	0.0000000000e+00	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.9814612739e-02	2.7353808140e-01	-9.6861734320e-02	-9.6861734337e-02	0.0000000000e+00	-1.1184629677e-01	8.3884722576e-02	2.7961574198e-02	0.0000000000e+00	-7.9087274908e-02	0.0000000000e+00	7.9087274908e-02	0.0000000000e+00	-1.6047982569e-15	-9.5127207192e-06	9.5127207208e-06	-9.0511608904e-06	1.7838635881e-05	-1.0984343736e-05	4.1740506198e-05	1.2800274486e-05	-2.5227640799e-05	-4.0388940498e-05	-3.1068415762e-06
